Symbol,Price_Increase_Percentage
LGHLW,inf
DGNX,2191.944444444445
MCTR,219.1489361702128
SVMHW,199.99999999999994
MARXR,139.99999999999997
NTCL,114.81481481481481
LUNRW,112.29508196721312
XBPEW,100.0
PHH,100.0
MIMI,78.59007832898172
AVR,72.35294117647058
ZYBT,64.86486486486484
GRRRW,63.30275229357797
HIT,57.26141078838174
RDZNW,49.999999999999986
SHFSW,49.999999999999986
NNNN,48.64864864864866
RFACR,42.10526315789475
BBNX,41.12903225806452
TALKW,36.36363636363636
MTSR,35.63455973542787
INR,35.13513513513514
SKBL,33.75796178343949
UFG,33.50785340314136
NIVFW,33.33333333333334
SVIIW,33.33333333333334
FLOC,32.49348392701998
DAVEW,31.57894736842105
CIFRW,30.434782608695667
BLACR,30.0
AAPG,29.69696969696969
MVSTW,29.411764705882344
CORZW,29.10447761194032
GODNR,28.260869565217376
TTAN,26.35379061371841
FLDDW,25.000000000000007
AUROW,24.444444444444432
RGTIW,23.706896551724153
BRKHW,21.999999999999996
SFD,15.340314136125652
SOUNW,11.915887850467284
RANGU,10.500000000000007
CMPOW,10.022779043280192
HTZWW,8.755760368663593
DMAAU,8.200000000000003
TAVIU,7.707707707707703
PLMKU,7.185628742514977
ZVZZT,7.08333333333333
DRDBU,5.7401812688821785
SPHAU,2.102102102102093
MLACU,1.9999999999999927
FGMCU,1.6427104722792623
COLAU,1.3986013986014043
HVIIU,1.1033099297893625
CEPO,1.0956175298804902
SVCCU,0.8999999999999986
ADNWW,0.0
AILEW,0.0
ESGLW,0.0
LILM,0.0
ISRLW,0.0
GDSTR,0.0
GOEVW,0.0
DHAIW,0.0
NMHIW,0.0
PROCW,0.0
ZWZZT,0.0
AAGRW,
BROGW,
GSMGW,
