Symbol,RSI_Against_Market_1m
HVIIU,92.88106395770413
DMAAU,92.22004883227568
FLOC,91.32601211716769
MIMI,90.83840957078769
PLMKU,82.77868394642937
TTAN,82.68044857098418
MLACU,82.52198836446637
SVCCU,81.75320101476892
AAPG,81.43973302083256
MTSR,79.1563940591156
UFG,76.61980480695802
COLAU,68.1500335407541
HIT,67.0394712889453
MAZE,66.55625818985854
ZYBT,64.19634611823815
RANGU,61.83456173668061
NTCL,60.342983951429424
AVR,59.98462573974606
PHH,58.605191907894365
CEPO,57.99215783078614
SFD,52.26044817832195
FGMCU,51.54154928032303
DRDBU,50.602419200573785
NNNN,50.332283124397456
SKBL,49.70926644529619
