Symbol,Price_Increase_Percentage,Screeners,Volume-Acceleration(%),RSI_12M,Nr_Of_Spikes,MVP_Last_6Mo,RSI_3M,RSI_6M,Days_Traded,Price_Tightness_1W
SORA,686.1111111111111,7,,89.04867256637168,1,,89.04867256637168,89.04867256637168,39,42.473498233215544
CTEV,521.6666666666666,6,,90.04360465116278,,,81.07861060329067,90.04360465116278,170,13.509889373114307
CRWV,273.0826618919725,7,,91.3682277318641,1,,91.3682277318641,91.3682277318641,42,28.57142857142857
TVRD,175.5823293172691,8,57.63,85.20710059171593,1,,85.20710059171593,85.20710059171593,101,20.22733896823084
ECG,148.37476099426388,6,,95.53372041089773,,,95.53372041089773,95.53372041089773,145,7.104467584816924
STRZ,146.375,6,,80.04158004158005,,,80.04158004158005,80.04158004158005,15,16.154276131917275
LIF,144.92307692307693,8,64.06,95.62231759656655,1,,95.62231759656655,95.62231759656655,244,7.914572864321606
TLX,123.07127112417339,6,,87.10280373831779,,,84.01048492791614,87.10280373831779,132,10.24636058230682
OS,112.04313960455362,6,,94.38700147710479,,,92.1302578018996,92.1302578018996,212,5.479452054794513
MRP,87.10526315789473,6,,81.90591073582632,,,81.90591073582632,81.90591073582632,87,5.2776819592963005
TWFG,71.28108869075552,6,,84.32835820895521,,,77.11738484398208,77.11738484398208,216,6.002202643171806
VENU,70.2127659574468,7,,82.77511961722489,1,,82.77511961722489,82.77511961722489,123,26.750000000000007
TIC,63.19999999999999,6,,68.15068493150686,,,68.15068493150686,68.15068493150686,74,9.123117803365806
AAPG,60.909090909090914,6,,78.63695937090434,,,78.63695937090434,78.63695937090434,86,8.738229755178908
MNTN,56.5028901734104,3,,,,,,,4,36.10341643582641
FLG,55.957943925233636,6,,91.69960474308304,,,91.69960474308304,91.69960474308304,220,9.105431309904144
SW,53.98540934882465,6,,92.89289289289283,,,72.71872060206962,72.71872060206962,224,4.8796498905908186
MSIF,50.0,6,,96.523178807947,,,64.45623342175068,96.523178807947,85,4.9056603773584975
PRMB,46.866038508807875,6,,87.83216783216785,,,87.83216783216785,87.83216783216785,135,6.458395914689091
GLXY,41.48936170212767,3,,,,,,,8,24.799999999999997
BSII,37.70325203252033,7,168.64,100.0,,,92.53731343283573,100.0,160,24.723247232472335
CURB,36.64893617021277,6,,94.27480916030527,,,73.81615598885793,94.27480916030527,167,5.111683848797257
MDU,35.638297872340424,6,,90.63063063063063,,,76.15894039735096,76.15894039735096,140,5.45764638999432
CCIR,34.57661290322581,6,,96.5517241379311,,,92.55319148936168,96.5517241379311,121,9.841269841269844
SOBO,30.43478260869566,7,,76.83523654159872,1,,76.83523654159872,76.83523654159872,162,5.770662695457933
SNRE,29.775678866587956,6,,88.83447600391773,,,76.72485453034082,83.07291666666663,140,5.5743879472693045
CEPO,29.482071713147423,6,,97.79411764705874,,,97.79411764705874,97.79411764705874,97,4.799999999999997
HTO,27.299042529503463,6,,77.31788079470195,,,74.07407407407408,77.31788079470195,136,2.8060263653484028
ETOR,22.25148123765636,3,,,,,,,10,12.398544640358233
GRAF,22.037652270210415,6,,100.0,,,88.23529411764639,100.0,195,1.5238095238095253
AII,21.410736579275905,3,,,,,,,14,3.550295857988153
HOND,21.212121212121207,7,59.17,96.00000000000009,,,85.41666666666661,96.00000000000009,157,10.333333333333334
HNGE,19.24857065069426,3,,,,,,,4,16.141552511415526
