2025-03-07 02:02:16,054 - INFO - Starting master stock screening pipeline manager.
2025-03-07 02:02:16,056 - INFO - Running all pipelines in parallel...
2025-03-07 02:02:16,056 - INFO - Running pipeline: C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\minervini_1mo\stock_screening_pipeline.py
2025-03-07 02:02:16,057 - INFO - Running C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\minervini_1mo\stock_screening_pipeline.py in C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\minervini_1mo
2025-03-07 02:02:16,057 - INFO - Running pipeline: C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\minervini_4mo\stock_screening_pipeline.py
2025-03-07 02:02:16,058 - INFO - Running pipeline: C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\ipos\stock_screening_pipeline.py
2025-03-07 02:02:16,058 - INFO - Running C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\minervini_4mo\stock_screening_pipeline.py in C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\minervini_4mo
2025-03-07 02:02:16,059 - INFO - Running C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\ipos\stock_screening_pipeline.py in C:\Users\Victus\PycharmProjects\Stocks_Screener_V2\flask_microservice_stocks_filterer\stocks_filtering_application\ipos
2025-03-07 02:02:16,104 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,104 - INFO - Starting stock screening pipeline
2025-03-07 02:02:16,104 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,104 - INFO - Finding and deleting old CSV files...
2025-03-07 02:02:16,104 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,104 - INFO - Found 10 CSV files to delete
2025-03-07 02:02:16,104 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,104 - INFO - Deleting: price_spikes.csv
2025-03-07 02:02:16,105 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,104 - INFO - Starting stock screening pipeline
2025-03-07 02:02:16,105 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Deleting: top_price_increase_1y.csv
2025-03-07 02:02:16,105 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,104 - INFO - Finding and deleting old CSV files...
2025-03-07 02:02:16,105 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Deleting: top_relative_strength_3m.csv
2025-03-07 02:02:16,105 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Found 9 CSV files to delete
2025-03-07 02:02:16,105 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Deleting: volume_acceleration_stocks.csv
2025-03-07 02:02:16,105 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Deleting: price_spikes.csv
2025-03-07 02:02:16,105 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Deleting: above_52week_low.csv
2025-03-07 02:02:16,106 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Deleting: strong_recent_ipos.csv
2025-03-07 02:02:16,106 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Deleting: close_to_52week_high.csv
2025-03-07 02:02:16,106 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Deleting: top_price_increase_1y.csv
2025-03-07 02:02:16,106 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Deleting: minimum_price_increase.csv
2025-03-07 02:02:16,106 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Deleting: top_relative_strength_1m.csv
2025-03-07 02:02:16,106 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Deleting: minimum_volume_100k.csv
2025-03-07 02:02:16,106 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,105 - INFO - Deleting: volume_acceleration_stocks.csv
2025-03-07 02:02:16,106 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,106 - INFO - Deleting: obligatory_passed_stocks.csv
2025-03-07 02:02:16,107 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,106 - INFO - Deleting: close_to_52week_high.csv
2025-03-07 02:02:16,107 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,106 - INFO - Deleting: trending_up_stocks.csv
2025-03-07 02:02:16,107 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,106 - INFO - Deleting: filtered_recent_stocks.csv
2025-03-07 02:02:16,107 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,106 - INFO - Deleting: minimum_volume_100k.csv
2025-03-07 02:02:16,107 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,107 - INFO - Starting stock screening pipeline
2025-03-07 02:02:16,107 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,106 - INFO - Deleting: obligatory_passed_stocks.csv
2025-03-07 02:02:16,107 - INFO - [stock_screening_pipeline.py] 2025-03-07 02:02:16,107 - INFO - Finding and deleting old CSV files...
