Symbol,Price_Increase_Percentage
MULN,260215690.16
ACON,31804232.66
CRKN,24498357.53
SMFL,8089900.00
MTEM,1839900.00
NVOS,1419900.00
ADTX,1110104.08
ALPP,926600.00
CETX,658792.41
AAGR,540000.00
DXF,409622.22
LGMK,342757.14
LUXH,303227.41
NMHI,292816.54
CLEU,285104.05
DBGI,270072.91
EGRX,254700.00
WHLR,242332.68
AEON,136218.91
TRNR,124353.33
VRPX,122122.22
CYN,107132.21
XTIA,106571.88
UPC,103166.41
DMN,83003.45
CNSP,80699.92
GCTK,75299.85
ALCE,71205.42
SCPX,70038.89
CDT,68527.45
WINT,66945.45
VCIG,59552.65
WTO,58626.42
XHG,58152.43
SYTA,57033.86
XPON,52255.24
SMX,51557.12
VLCN,49841.01
SYRS,46100.00
MLGO,45809.91
APDN,42358.10
VHAI,37677.78
ELAB,36844.48
SOBR,36391.34
XXII,33137.27
ADD,32929.82
HAO,31538.01
HEPA,30121.26
PBM,29360.64
PGHL,28916.22
IVP,28789.05
CERO,28676.98
GWAV,27403.28
VMAR,25693.94
SMR,24746.15
NIVF,21686.78
AREB,20968.20
CTNT,19580.00
RNAZ,19289.10
BACK,19130.77
LICN,18669.23
BSFC,18162.50
HOLO,17627.27
TGL,17443.86
EDBL,17123.76
GTI,16857.19
ALLR,16811.21
MAXN,16365.86
DGLY,16350.00
MNDR,16064.38
EYEN,14582.35
BJDX,14175.68
MTC,13484.31
JAGX,13332.57
SBFM,13189.57
ULY,12758.97
AEHL,12668.92
ATXI,12502.52
VIRX,12275.00
GRI,11753.55
ICCT,11478.51
RYDE,11066.83
BON,10781.15
TRVN,10755.26
BURU,10680.93
CGBS,10225.20
AIEV,9949.75
AGMH,9945.87
TNXP,9840.83
FTEL,9624.95
RSLS,9566.87
GNLN,9546.02
ICON,9525.00
MKDW,9311.76
VINC,8938.18
CTOR,8799.38
BHAT,8684.68
LPA,8650.00
CHSN,8626.15
GOLD,8440.00
DRUG,8396.77
SNYR,8303.36
JBDI,7929.75
WCT,7913.70
FRES,7800.00
JTAI,7674.04
QUBT,7550.04
PITA,7530.90
NVNI,7490.29
BSLK,7411.03
GDHG,7371.49
SGN,6939.44
LYRA,6936.59
SDST,6820.26
BDRX,6391.01
BPTH,6238.84
EJH,6197.71
WKHS,6159.77
ORIS,6123.33
RTC,5956.25
NUKK,5924.62
