Symbol,Date,Total Assets,Total Liabilities,Total Equity,Total Revenue,Gross Profit,Operating Income,Net Income,Net profit margin,EPS
ADEA,2024-12-31,1097961000.0,701390000.0,396571000.0,376024000.0,,142262000.0,64623000.0,0.17185871114609705,0.57
ADEA,2023-12-31,1105556000.0,748934000.0,356622000.0,388788000.0,,145563000.0,67372000.0,0.17328724137576262,0.6
AEE,2024-12-31,44598000000.0,32355000000.0,12243000000.0,7623000000.0,3653000000.0,1516000000.0,1182000000.0,0.15505706414797324,
AEE,2023-12-31,40830000000.0,29352000000.0,11478000000.0,7500000000.0,3467000000.0,1558000000.0,1152000000.0,0.1536,4.38
AEM,2024-12-31,29987018000.0,9154118000.0,20832900000.0,8285753000.0,3685597000.0,3149429000.0,1895581000.0,0.22877594830548292,3.78
AEM,2023-12-31,28684949000.0,9262034000.0,19422915000.0,6626909000.0,2201875000.0,1694633000.0,1941307000.0,0.2929430598790477,3.95
AGI,2024-12-31,5336100000.0,1751900000.0,3584200000.0,1346900000.0,595800000.0,504800000.0,284300000.0,0.21107728858861088,
AGI,2023-12-31,4001200000.0,1077700000.0,2923500000.0,1023300000.0,385600000.0,318100000.0,210000000.0,0.20521841102316035,0.53
AJG,2024-12-31,64255200000.0,44075600000.0,20179600000.0,11554900000.0,4878300000.0,2282100000.0,1462700000.0,0.12658698906957222,6.5
AJG,2023-12-31,51615800000.0,40800500000.0,10815300000.0,10071900000.0,4245300000.0,1859100000.0,969500000.0,0.0962579056583167,4.42
ALDX,2024-12-31,104606694.0,33601823.0,71004871.0,0.0,,-60117032.0,-55851444.0,,-0.94
ALDX,2023-12-31,148326911.0,28531881.0,119795030.0,0.0,,-42794083.0,-37542510.0,,-0.64
ALHC,2024-12-31,782063000.0,681108000.0,100955000.0,2703561000.0,296691000.0,-101555000.0,-128035000.0,-0.04735791054834716,-0.67
ALHC,2023-12-31,591880000.0,433809000.0,158071000.0,1823630000.0,201030000.0,-127817000.0,-148017000.0,-0.08116613567445151,-0.79
ALKS,2024-12-31,2055567000.0,590590000.0,1464977000.0,1557632000.0,1312301000.0,420636000.0,367070000.0,0.23565900032870407,2.17
ALKS,2023-12-31,2136223000.0,933537000.0,1202686000.0,1663405000.0,1410368000.0,414122000.0,355757000.0,0.21387274896973377,2.1
ALTM,2024-12-31,10190100000.0,3009300000.0,7180800000.0,1007800000.0,288600000.0,155400000.0,103200000.0,0.10240127009327248,0.09
ALTM,2023-12-31,3230100000.0,946300000.0,2283800000.0,882500000.0,538400000.0,469400000.0,330100000.0,0.3740509915014164,0.66
AMPL,2024-12-31,445911000.0,149355000.0,296556000.0,299272000.0,222348000.0,-107383000.0,-94319000.0,-0.31516145847256005,-0.76
AMPL,2023-12-31,433684000.0,138931000.0,294753000.0,276284000.0,204361000.0,-94378000.0,-90363000.0,-0.32706562812178774,-0.77
AON,2024-12-31,48965000000.0,42535000000.0,6430000000.0,15698000000.0,7415000000.0,4176000000.0,2654000000.0,0.16906612307300292,12.49
AON,2023-12-31,33959000000.0,34701000000.0,-742000000.0,13376000000.0,6474000000.0,3822000000.0,2564000000.0,0.1916866028708134,12.51
APEI,2024-12-31,570103000.0,266224000.0,303879000.0,624559000.0,328856000.0,38782000.0,16113000.0,0.025799003777065097,0.55
APEI,2023-12-31,557386000.0,265410000.0,291976000.0,600545000.0,307683000.0,18673000.0,-47286000.0,-0.0787384792147133,-2.94
ARIS,2024-12-31,1420114000.0,684830000.0,735284000.0,435444000.0,177889000.0,109907000.0,26857000.0,0.06167727652694721,0.81
ARIS,2023-12-31,1340481000.0,652588000.0,687893000.0,392118000.0,137513000.0,83365000.0,18888000.0,0.0481691735651003,0.59
ARQT,2024-12-31,348889000.0,191348000.0,157541000.0,196542000.0,177414000.0,-128397000.0,-140039000.0,-0.7125143735181284,-1.16
ARQT,2023-12-31,341365000.0,252698000.0,88667000.0,59606000.0,54619000.0,-241101000.0,-262140000.0,-4.397879408113277,-3.78
ATAT,2023-12-31,6587025000.0,4526936000.0,2060089000.0,4665967000.0,1911751000.0,924034000.0,737137000.0,0.15798161452920692,5.34
ATHM,2023-12-31,30835731000.0,5662493000.0,25173238000.0,7184135000.0,5772254000.0,1137425000.0,2033381000.0,0.2830376934731878,15.32
ATSG,2024-12-31,3893711000.0,2409699000.0,1484012000.0,1961971000.0,344933000.0,136087000.0,27434000.0,0.013982877422754975,0.4
ATSG,2023-12-31,3882090000.0,2513388000.0,1368702000.0,2070611000.0,426929000.0,199832000.0,60327000.0,0.029134878545511445,0.82
AU,2023-12-31,8175000000.0,4435000000.0,3740000000.0,4582000000.0,1027000000.0,575000000.0,-235000000.0,-0.05128764731558272,-0.56
AUPH,2024-12-31,550645000.0,173167000.0,377478000.0,235133000.0,206885000.0,18419000.0,5752000.0,0.024462750868657315,0.04
AUPH,2023-12-31,548062000.0,170108000.0,377954000.0,175513000.0,161365000.0,-91691000.0,-78020000.0,-0.4445254767453123,-0.54
AXS,2024-12-31,32520293000.0,26430914000.0,6089379000.0,6018811000.0,,,1081786000.0,0.17973417008774656,
AXS,2023-12-31,30250672000.0,24987476000.0,5263196000.0,5590519000.0,,,376292000.0,0.06730895646719026,4.02
AXSM,2024-12-31,568498000.0,511483000.0,57015000.0,385693000.0,352390000.0,-252438000.0,-287216000.0,-0.7446751691111843,-5.99
AXSM,2023-12-31,588236000.0,397259000.0,190977000.0,270600000.0,244535000.0,-182907000.0,-239238000.0,-0.8841019955654102,-5.27
AZPN,2024-06-30,14071707000.0,1258852000.0,12812855000.0,1127482000.0,744906000.0,-89540000.0,-9771000.0,-0.008666213739997623,-0.15
AZPN,2023-06-30,,,,1044178000.0,670589000.0,-183065000.0,-107760000.0,-0.1032007952667074,-1.67
BABA,2024-03-31,1764829000000.0,652230000000.0,1112599000000.0,941168000000.0,354845000000.0,123871000000.0,80009000000.0,0.08501032759294834,31.28
BBVA,2024-12-31,772402000000.0,712388000000.0,60014000000.0,35482000000.0,,,10054000000.0,0.28335494053322813,1.68
BBVA,2023-12-31,775558000000.0,720293000000.0,55265000000.0,29542000000.0,,,8019000000.0,0.271444045765351,1.29
BCS,2024-12-31,1518202000000.0,1445721000000.0,72481000000.0,26230000000.0,,,6307000000.0,0.24044986656500192,1.392
BCS,2023-12-31,1477487000000.0,1405623000000.0,71864000000.0,25384000000.0,,,5259000000.0,0.20717774976363063,1.076
BECN,2024-12-31,6953600000.0,4961100000.0,1992500000.0,9763200000.0,2504800000.0,665400000.0,361700000.0,0.03704727958046542,5.68
BECN,2023-12-31,6207700000.0,4384200000.0,1823500000.0,9119800000.0,2342700000.0,712200000.0,435000000.0,0.047698414438913136,-0.43
BEKE,2023-12-31,120331931000.0,48130826000.0,72201105000.0,77776932000.0,21718014000.0,5652557000.0,5883224000.0,0.07564227398427081,4.89
BJ,2024-01-31,6677622000.0,5218771000.0,1458851000.0,19968689000.0,3642560000.0,820047000.0,523741000.0,0.02622811141983332,3.88
BK,2024-12-31,416064000000.0,374300000000.0,41764000000.0,18258000000.0,,,4530000000.0,0.24811041735129807,
BK,2023-12-31,409877000000.0,368972000000.0,40905000000.0,17488000000.0,,,3302000000.0,0.18881518755718207,3.89
BLX,2023-12-31,10743792000.0,9539968000.0,1203824000.0,237335000.0,,,166158000.0,0.7000990161585944,4.55
BMTX,2023-12-31,54640000.0,23668000.0,30972000.0,55252000.0,26566000.0,-19043000.0,-17331000.0,-0.31367190327951927,-1.5
BMY,2024-12-31,92603000000.0,76215000000.0,16388000000.0,48300000000.0,34332000000.0,5887000000.0,-8948000000.0,-0.18525879917184265,
BMY,2023-12-31,95159000000.0,65674000000.0,29485000000.0,45006000000.0,34313000000.0,8195000000.0,8025000000.0,0.17830955872550328,3.86
BRO,2024-12-31,17612000000.0,11175000000.0,6437000000.0,4705000000.0,2299000000.0,1367000000.0,993000000.0,0.2110520722635494,3.46
BRO,2023-12-31,14883400000.0,9304600000.0,5578800000.0,4199400000.0,2012800000.0,1156900000.0,870500000.0,0.20729151783588132,3.05
CAE,2024-03-31,9834100000.0,5531500000.0,4302600000.0,4282800000.0,1154500000.0,467900000.0,-304000000.0,-0.07098160082189223,-0.95
CDMO,2024-04-30,336557000.0,275668000.0,60889000.0,139911000.0,7318000.0,-18678000.0,-140753000.0,-1.006018111513748,-2.23
CDXC,2024-12-31,68278000.0,22184000.0,46094000.0,99597000.0,61586000.0,7726000.0,8550000.0,0.08584595921563902,
CDXC,2023-12-31,54964000.0,26508000.0,28456000.0,83570000.0,50780000.0,-5599000.0,-4938000.0,-0.059088189541701565,-0.07
CHKP,2023-12-31,5695500000.0,2874500000.0,2821000000.0,2414700000.0,2132100000.0,899100000.0,840300000.0,0.34799353957013296,7.1
CHTR,2024-12-31,150020000000.0,130313000000.0,19707000000.0,55085000000.0,30777000000.0,13245000000.0,5083000000.0,0.09227557411273486,
CHTR,2023-12-31,147193000000.0,132475000000.0,14718000000.0,54607000000.0,29967000000.0,12506000000.0,4557000000.0,0.08345083963594412,29.99
CIB,2023-12-31,342928809000000.0,303879080000000.0,39049729000000.0,28509558000000.0,,,6116936000000.0,0.21455737756439436,25438.820079
CMRX,2023-12-31,212774000.0,19745000.0,193029000.0,324000.0,324000.0,-93065000.0,-82095000.0,-253.37962962962962,-0.93
COEP,2023-12-31,4571089.0,3757125.0,813964.0,0.0,0.0,-21491125.0,-21266537.0,,-0.83
COMP,2024-12-31,1178000000.0,765600000.0,412400000.0,5629100000.0,994500000.0,-145100000.0,-154400000.0,-0.027428896271162354,
COMP,2023-12-31,1160300000.0,728300000.0,432000000.0,4885000000.0,878000000.0,-284500000.0,-321300000.0,-0.0657727737973388,-0.69
CQP,2024-12-31,17453000000.0,17962000000.0,-509000000.0,8704000000.0,4450000000.0,3280000000.0,2510000000.0,0.2883731617647059,4.25
CQP,2023-12-31,18102000000.0,18886000000.0,-784000000.0,9664000000.0,6249000000.0,5036000000.0,4254000000.0,0.44019039735099336,6.95
CRMD,2023-12-31,82059957.0,11917528.0,70142429.0,0.0,0.0,-48957788.0,-46339227.0,,-0.91
CSCO,2024-07-31,124413000000.0,78956000000.0,45457000000.0,53803000000.0,34828000000.0,12970000000.0,10320000000.0,0.1918108655651172,2.54
CSGS,2024-12-31,1500687000.0,1218118000.0,282569000.0,1197248000.0,582785000.0,144656000.0,86852000.0,0.07254303202009943,3.03
CSGS,2023-12-31,1443046000.0,1169720000.0,273326000.0,1169258000.0,554216000.0,140213000.0,66246000.0,0.0566564436591411,2.2
CXDO,2024-12-31,64938000.0,13525000.0,51413000.0,60838000.0,37743000.0,1824000.0,1677000.0,0.027565008711660476,
CXDO,2023-12-31,56160000.0,11547000.0,44613000.0,53199000.0,31635000.0,-1689000.0,-362000.0,-0.006804639184947086,-0.01
DB,2023-12-31,1312331000000.0,1237514000000.0,74817000000.0,28875000000.0,,,4772000000.0,0.16526406926406925,2.03
