Symbol,Date,Total Assets,Total Liabilities,Total Equity,Total Revenue,Gross Profit,Operating Income,Net Income,Net profit margin,EPS
ADEA,2024-12-31,1097961000.0,701390000.0,396571000.0,119168000.0,,61291000.0,36028000.0,0.30232948442534907,
ADEA,2024-09-30,1083165000.0,704950000.0,378215000.0,86101000.0,,30773000.0,19314000.0,0.22431795217244863,0.17
ADEA,2024-06-30,1068674000.0,709538000.0,359136000.0,87350000.0,,27904000.0,8382000.0,0.09595878649112764,0.07
ADEA,2024-03-31,1079340000.0,729389000.0,349951000.0,83405000.0,,22294000.0,899000.0,0.010778730291948924,0.01
ADEA,2023-12-31,1105556000.0,748934000.0,356622000.0,86867000.0,,25439000.0,12700000.0,0.1462005134285747,0.11
ADEA,2023-09-30,,,,,,,,,0.21
ADEA,2023-06-30,,,,,,,,,
AEE,2024-12-31,44598000000.0,32355000000.0,12243000000.0,1941000000.0,794000000.0,198000000.0,207000000.0,0.10664605873261206,
AEE,2024-09-30,43298000000.0,31336000000.0,11962000000.0,2173000000.0,1124000000.0,586000000.0,456000000.0,0.20984813621721124,1.7
AEE,2024-06-30,42334000000.0,30666000000.0,11668000000.0,1693000000.0,868000000.0,361000000.0,258000000.0,0.15239220318960425,0.97
AEE,2024-03-31,41306000000.0,29734000000.0,11572000000.0,1816000000.0,867000000.0,371000000.0,261000000.0,0.14372246696035243,0.98
AEE,2023-12-31,40830000000.0,29352000000.0,11478000000.0,1618000000.0,751000000.0,264000000.0,158000000.0,0.09765142150803462,0.6
AEE,2023-09-30,,,,,,,,,1.87
AEM,2024-12-31,29987018000.0,9154118000.0,20832900000.0,2223700000.0,1088625000.0,910960000.0,509255000.0,0.22901245671628367,
AEM,2024-09-30,29816489000.0,9311518000.0,20504971000.0,2155609000.0,981711000.0,852772000.0,567118000.0,0.2630894563902823,1.13
AEM,2024-06-30,29291206000.0,9294791000.0,19996415000.0,2076621000.0,926248000.0,808848000.0,472016000.0,0.22730002248845602,0.94
AEM,2024-03-31,28802441000.0,9160071000.0,19642370000.0,1829823000.0,689013000.0,576849000.0,347192000.0,0.18974075634637885,0.7
AEM,2023-12-31,28684949000.0,9262034000.0,19422915000.0,1756640000.0,587629000.0,417551000.0,-381011000.0,-0.2168975999635668,-0.77
AEM,2023-09-30,,,,,,,,,0.35
AEM,2023-06-30,,,,,,,,,
AGI,2024-12-31,5336100000.0,1751900000.0,3584200000.0,375800000.0,174900000.0,158400000.0,87600000.0,0.233102714209686,
AGI,2024-09-30,5292600000.0,1786000000.0,3506600000.0,360900000.0,156900000.0,126200000.0,84500000.0,0.23413688002216682,0.2
AGI,2024-06-30,4164200000.0,1103900000.0,3060300000.0,332600000.0,160000000.0,138800000.0,70100000.0,0.21076368009621166,0.17
AGI,2024-03-31,4011500000.0,1055300000.0,2956200000.0,277600000.0,104000000.0,81400000.0,42100000.0,0.15165706051873198,0.11
AGI,2023-12-31,4001200000.0,1077700000.0,2923500000.0,254600000.0,87900000.0,71900000.0,47100000.0,0.1849960722702278,0.12
AGI,2023-09-30,,,,,,,,,0.1
AGI,2023-06-30,,,,,,,,,
AJG,2024-12-31,64255200000.0,44075600000.0,20179600000.0,2716000000.0,1125600000.0,473700000.0,258300000.0,0.09510309278350515,
AJG,2024-09-30,57242700000.0,45033100000.0,12209600000.0,2806800000.0,1144600000.0,480900000.0,312600000.0,0.11137238135955536,1.39
AJG,2024-06-30,63007700000.0,51408400000.0,11599300000.0,2775400000.0,1115900000.0,478700000.0,283400000.0,0.10211140736470418,1.27
AJG,2024-03-31,60975900000.0,49631700000.0,11344200000.0,3256700000.0,1492200000.0,848800000.0,608400000.0,0.18681487395216015,2.74
AJG,2023-12-31,51615800000.0,40800500000.0,10815300000.0,2437800000.0,970800000.0,330500000.0,-32200000.0,-0.013208630732627779,-0.15
AJG,2023-09-30,,,,,,,,,1.28
ALDX,2024-12-31,104606694.0,33601823.0,71004871.0,0.0,,-16577784.0,-15808767.0,,
ALDX,2024-09-30,117319352.0,32223648.0,85095704.0,0.0,,-16137576.0,-15112983.0,,-0.25
ALDX,2024-06-30,126043834.0,27733495.0,98310339.0,0.0,,-18007807.0,-16847572.0,,-0.28
ALDX,2024-03-31,141301892.0,27882451.0,113419441.0,0.0,,-9393865.0,-8082122.0,,-0.14
ALDX,2023-12-31,148326911.0,28531881.0,119795030.0,0.0,,-6097778.0,-4752962.0,,
ALDX,2023-09-30,,,,,,,,,-0.14
ALDX,2023-06-30,,,,,,,,,-0.15
ALHC,2024-12-31,782063000.0,681108000.0,100955000.0,701241000.0,86345000.0,-22545000.0,-31091000.0,-0.044337110921922704,
ALHC,2024-09-30,692287000.0,576660000.0,115627000.0,692433000.0,78989000.0,-19522000.0,-26413000.0,-0.03814520682867512,-0.14
ALHC,2024-06-30,716258000.0,591460000.0,124798000.0,681286000.0,75974000.0,-18382000.0,-24010000.0,-0.03524217435849262,-0.13
ALHC,2024-03-31,633230000.0,501213000.0,132017000.0,628601000.0,55383000.0,-41106000.0,-46521000.0,-0.07400720011581273,-0.25
