Symbol,IBD_RSI
RGC,99
FNMA,99
ALMU,99
LTBR,99
SVT,98
HRTG,97
FNCH,97
NAGE,97
HOOD,97
OPFI,97
ORLA,97
NEON,97
FNMAS,96
OPOF,96
CFSB,96
PPTA,96
GBFH,95
CMP,95
CVNA,95
ATROB,95
DOMO,94
NET,94
IRTC,94
KTOS,94
CCRD,94
KFS,93
IPI,93
NFLX,93
CIXXF,93
PRPO,92
PODD,92
X,91
OR,91
OKTA,91
CLBR,91
GOGO,91
LBRDK,91
PBI,91
ZS,90
SII,90
VSEC,90
LLYVK,90
DMYY,90
OSIS,90
WOR,90
FROG,90
VRSN,90
MOS,89
HCSG,89
SENEB,89
APH,89
SXT,89
ONIT,89
FRFHF,89
GTX,88
PRDO,88
EXE,88
JBL,88
NFG,88
MELI,88
TLGYF,88
DGICB,87
TXNM,87
TTWO,87
ALNT,87
NXT,87
APG,87
ISBA,87
TCI,87
BJRI,87
STN,86
GILD,86
WWD,86
RGLD,86
TITN,86
MNST,86
AL,86
FER,86
AAMI,85
FOX,85
ASTE,85
MT,85
SIBN,85
WRLD,85
FDP,84
NC,84
MCK,84
IROQ,84
BH,84
PCLB,84
GTPS,84
KMI,84
UBOH,84
CVLT,84
PERI,84
BA,83
SGI,83
BAP,83
CAAP,82
TW,82
STVN,82
SLF,82
NEU,82
FHI,81
ALCO,81
NTR,81
CPA,79
ADP,79
CTAS,79
BKSC,78
BOTJ,78
CNM,74
GCMG,72
SWTX,66
PARAA,61
