Symbol,RSI_12M
SPNT,99.71098265895954
KGC,99.42528735632185
NUTX,99.24812030075188
HNRG,97.00748129675814
APEI,96.56357388316158
T,96.4630225080386
PDEX,95.92668024439914
DRD,95.89041095890413
MRX,95.73170731707316
NGVC,94.72450175849943
GFI,94.33962264150944
ESLT,94.0682414698163
AU,93.80281690140848
ACNT,93.5691318327974
BJ,93.29205366357064
NYC,92.2413793103448
DGICA,92.16216216216219
XYF,91.97530864197529
YOSH,91.65289256198346
SLNO,91.54681538009979
ALHC,91.48936170212768
AGI,91.3907284768212
VLGEA,90.55876685934486
BKTI,90.52808046940484
HMY,90.12658227848101
COOP,88.83169203222917
AEM,88.6151797603196
LARK,88.33034111310594
PLMR,87.78398510242081
WPM,87.78242677824272
TGTX,86.55462184873949
EZPW,86.48648648648643
HCI,83.83977900552487
SENEA,80.16759776536311
