Symbol,Max_RSI_3M
BHAC,100.0
LTH,100.0
OVBC,100.0
IMAX,98.97172236503859
NMR,98.93617021276599
GPOR,98.86749716874299
LNG,98.60391803647826
SPOT,97.11972891566263
DOMO,97.01492537313433
IFS,96.75174013921112
FNA,96.62162162162163
CYD,96.61368348306843
T,96.4630225080386
EQH,95.54597701149423
DASH,95.51920341394029
CDTX,95.1515151515151
GE,94.71469892190385
AKRO,94.16186419443748
CNL,94.12955465587045
ESLT,94.0682414698163
FRAF,94.04600811907987
AU,93.3734939759036
CHKP,93.12739463601531
EH,93.08510638297874
BTI,93.05354558610713
SRAD,92.9611650485437
FPH,92.52669039145906
DGICA,92.16216216216219
BABA,91.79229480737018
PM,91.78127046496397
YOSH,91.65289256198346
SE,91.63987138263666
ALHC,91.48936170212768
BRO,91.32730015082953
SKWD,91.32507149666347
WVVI,91.18773946360155
RRC,90.9316770186335
NI,90.8376963350785
ROOT,90.70076877587226
GFL,90.51724137931049
MMM,90.31886285055701
COE,90.08438818565396
AJG,90.0020487604999
DB,89.91097922848647
LNC,89.84374999999993
JYD,89.82558139534882
EQT,89.5869191049914
HALO,89.3873085339168
K,89.3442622950822
XERS,89.25925925925924
LOGC,89.23076923076923
GFI,89.21052631578947
NUTX,89.18252290345316
BHF,89.1229789318961
CEE,88.98305084745762
FOXA,88.84565499351493
BMY,88.75000000000001
ASA,88.69257950530039
IBEX,88.60569715142431
RBA,88.5606874328679
IDCC,88.54507015183546
TDS,88.29431438127096
TMUS,88.14894932014835
IHS,87.90697674418604
HMY,87.85310734463278
AR,87.83382789317498
CNO,87.76290630975141
FYBR,87.5
ERJ,87.49181401440735
OIS,87.4074074074074
CRMD,87.29096989966553
AEM,87.28557013118063
TBRG,87.14733542319753
LXEH,87.10644677661172
MNPR,87.08558211256747
NATH,87.05293276108729
JCI,87.05220061412491
BAFN,87.00440528634361
TRVG,86.88524590163932
TRVI,86.74698795180724
ASND,86.64067309665504
ESE,86.63656884875839
XNET,86.45161290322581
ACR,86.33879781420765
BBVA,85.99999999999996
ALDX,85.89108910891085
AXSM,85.77564426478017
CVCO,85.73117497271731
NYC,85.71428571428574
XYF,85.67901234567901
TRP,85.64516129032256
VEON,85.61983471074383
NVCT,85.6
JFIN,85.54216867469881
DE,85.53152604325317
COMP,85.44152744630071
WPM,85.32731376975173
SSRM,85.15624999999999
BBIO,85.12544802867383
EXEL,85.11693834160172
MUFG,84.96732026143798
RDVT,84.95102404274262
NYXH,84.89208633093527
LFCR,84.87394957983196
ULS,84.7989949748743
TAL,84.73609129814551
TIGO,84.59343794579173
ACNT,84.52830188679249
ETR,84.33988764044928
MPAA,84.31876606683805
MWA,84.29985855728434
HNRG,84.2911877394636
DVAX,84.23236514522824
KGC,84.16666666666664
ALKS,84.09742120343844
CPS,84.04907975460122
MP,84.04825737265415
LX,84.04255319148938
BBUC,83.93881453154872
TARS,83.92156862745101
CCU,83.91608391608393
SAN,83.8461538461539
HCI,83.83977900552487
SNEX,83.79396984924625
NWG,83.77192982456131
AON,83.48012378005237
PLMR,83.26644025933928
DRS,83.22496749024714
BECN,83.00878197785406
BJ,82.96918767507006
VIRT,82.4884792626728
PBI,82.40469208211145
BEKE,82.4
AGI,82.3399558498896
TGTX,82.1791320406279
CIA,82.08092485549135
LAUR,82.03124999999999
NOK,81.92771084337355
MT,81.86915887850463
PDCO,81.81818181818313
LSBK,81.74807197943443
PDEX,81.66858017604287
YRD,81.60535117056857
ERIC,81.45161290322585
MPW,81.21546961325969
PTCT,81.17932148626818
INSM,81.08504398826982
BNTC,81.06355382619974
WMB,81.00092678405929
OKE,80.76398362892226
SKE,80.71216617210682
VIAV,80.6532663316583
NAMS,80.5439330543933
LNSR,80.47538200339558
DNOW,80.45977011494251
UGI,80.44554455445557
XPEV,80.41666666666669
UNB,80.41543026706232
WELL,80.36154478225143
SENEA,80.16759776536311
VRNA,80.0872885979269
TIPT,79.65517241379314
USAU,79.50819672131144
DRD,79.2834890965732
SONY,79.25764192139735
HURN,79.16666666666666
VEEV,79.08400168847615
AEE,79.0655884995507
HG,78.72340425531912
LARK,78.6666666666667
EZPW,78.40236686390529
UNM,78.2719186785261
CPRX,78.21656050955416
TSAT,78.21229050279331
EVRI,78.12499999999962
CRK,78.05456702253855
LI,77.82963827304549
EQX,77.5933609958506
ODC,77.47641509433961
LBRDA,77.41935483870957
RYAN,77.3930753564155
VIPS,77.0392749244713
MFG,76.92307692307693
SJT,76.85185185185185
PEN,76.82336182336181
FUTU,76.70901391409559
PAAS,76.61971830985914
CHN,76.56903765690376
SLM,76.4
BCS,76.3925729442971
TENX,76.30522088353413
IAG,76.14678899082571
WGS,76.14390921163829
BCOW,76.08695652173911
APEI,76.08286252354051
NTNX,76.07788595271211
CVKD,75.82116788321167
WHG,75.7647058823529
JD,75.33177205308354
ARQT,75.30266343825664
VICR,75.2858399296394
USCB,74.75728155339806
ARIS,74.72826086956522
IGIC,74.57044673539521
ATAT,74.49596774193549
GENI,74.47306791569085
YMM,74.41860465116287
PAYC,73.87824399708951
FTK,73.83720930232558
SNFCA,73.70129870129868
CHTR,73.69344773790951
GSHD,73.50178166504698
VHC,73.33333333333334
DRVN,73.21428571428572
IDT,73.21016166281765
QFIN,72.85974499089257
MAG,72.17741935483869
UFCS,72.08976157082746
SMFG,71.94719471947194
AHR,71.92192192192189
USM,71.63323782234957
MRCY,70.62500000000001
ADPT,70.52023121387283
MGTX,70.4724409448819
LBTYA,69.67213114754102
DOCU,69.56521739130429
CXW,69.5327102803738
CAE,69.48356807511738
WBD,69.29460580912865
LUV,69.28702010968921
PHR,69.27223719676549
ACIW,68.70805369127518
AXS,68.43065693430658
FUSB,68.34170854271356
RVSB,68.18181818181802
AZ,67.91277258566979
TGNA,67.57990867579909
CPBI,66.66666666666674
OLLI,65.74876237623764
TG,64.05228758169936
BKTI,60.01040041601664
TGS,59.13682277318642
