Symbol,Min_Market_RSI_Diff_3M
PLMR,7.442065743306955
AGI,7.008969001485411
WPM,4.121844414139808
SNEX,1.6036054015126169
CNL,0.9148128498454966
FNV,-0.6103697693086048
PUK,-1.5479697614030172
AJG,-1.6597346563139013
CCU,-1.9984959796613921
T,-2.9689654212461107
GFI,-3.4953734843953157
DRD,-4.053515731355148
AEE,-4.403932927789867
AEM,-4.760966975159555
MRX,-4.822367060492276
WHG,-5.126032321368761
WRB,-5.38532234017439
GFL,-5.407182116208681
DB,-6.004164941881115
COOP,-6.111127188245803
PM,-6.181061855680788
SONY,-6.205485101737381
OMAB,-6.396327643247879
BRO,-6.663974704490627
NWG,-6.695425601785637
COKE,-6.727508061275756
ASA,-6.729906219371436
SKWD,-6.870907966336361
PAAS,-6.92886425883141
EZPW,-7.127611659674912
LARK,-7.27227133703046
SRAD,-7.563636881248243
GRND,-8.36700416137306
JUNE,-8.776840226946817
BCS,-9.332584943258752
NRG,-9.449949030436429
TFPM,-10.119295370873473
NIC,-10.612593277960691
PEN,-10.682389503086085
BJ,-10.742010077071996
UGI,-11.025967029448196
DGICA,-11.138383274643957
SPOT,-11.737888557319195
BBVA,-12.33752393668884
AXS,-13.314568193756578
LINC,-13.535163103754954
NGVC,-13.586787607688947
NATH,-13.893901311183974
HNRG,-14.008523753226342
TISI,-14.024365417971836
APEI,-14.08434596093742
DRI,-14.623676981497475
SENEA,-14.765513772258487
CASY,-14.886878582245828
WGS,-15.164829545193356
ACNT,-15.17801194652727
BKTI,-15.362440547724603
EXEL,-15.54352003398607
KGC,-15.794838725037025
WMB,-16.011837263330165
SFM,-16.33775624965393
BSET,-16.345698275213763
ROOT,-16.515771072614
CSV,-16.689347900715006
ULS,-16.80682481430845
MRCY,-17.452050228321212
CAKE,-17.729569814723355
BBIO,-17.87056321106806
ATLC,-17.956597282359994
TGS,-18.154085344835913
GENI,-18.15621126039749
NUTX,-18.327034394548335
TRP,-18.535898018821847
KINS,-18.768456158356678
ESLT,-19.013397643758637
UNB,-19.11144297018228
GNTY,-19.5110033518203
FRAF,-19.657685190916226
HMY,-19.889810046899115
IDR,-19.932935681611056
SKE,-19.95814788431713
AU,-20.343022845556007
PLTR,-20.72225371286116
LRN,-20.73381526345114
LNG,-20.75126705410647
COST,-20.900229867250722
FCAP,-21.071590336240554
HWBK,-21.317833202837605
FEIM,-21.515427511579702
WMT,-21.594793247978707
MLYS,-21.684724692208313
ATGE,-22.61097658537424
AHR,-22.71845974513638
COEP,-22.875200882684517
SLNO,-22.89175717407526
BOW,-22.91203329520752
SDGR,-23.16200853119946
CPBI,-23.443493944862738
SSRM,-23.84647636422713
SMMT,-23.99065060121319
BNTC,-25.0344567974906
NYAX,-25.189851392363153
ASND,-25.50861958100934
OVBC,-26.158725142938053
TIGO,-26.295231130965313
MNPR,-26.393578827640276
GBTC,-26.41632188844668
BBAR,-26.533443963310276
DUOL,-26.67621306460707
ESQ,-27.396862881243898
BRBR,-27.982075521621553
SPNT,-28.07666608414972
CDTX,-28.186202039598946
ETON,-28.938797373912607
CXW,-29.0473077076103
VIRT,-29.28084945615347
TGTX,-29.315418273988854
TARS,-29.389689352607952
VLGEA,-29.54186754935121
RBLX,-29.832411659229678
OLLI,-30.66135578330136
CHWY,-31.73196829398539
HCI,-31.95358158897224
ALHC,-33.84696302480243
PDEX,-34.959682058074776
QURE,-35.58788146053361
EAT,-36.789679997757986
MSB,-38.018614984853635
GEO,-38.98139557295002
PTGX,-42.24388578334284
