Symbol,Price_Increase_Percentage
NUTX,1941.826923076923
YOSH,733.3333333333333
XYF,380.9782608695652
ALHC,355.8441558441558
BKTI,285.34704370179946
PDEX,254.12953060011887
TGTX,235.03480278422276
HNRG,223.17636195752536
NGVC,221.80783817951956
ESLT,139.58927552766684
NYC,129.30402930402929
MRX,120.95973524544956
APEI,116.94915254237289
DRD,108.37423593932016
KGC,107.98387096774191
SLNO,102.13056541928435
PLMR,94.04777972735863
HMY,90.96612296110416
AGI,90.91544374563242
COOP,84.74758324382383
AEM,84.60515378221115
T,82.12045169385196
HCI,81.58775705404112
AU,78.5120147874307
SENEA,77.64047113342343
GFI,77.3497688751926
EZPW,69.43005181347152
BJ,67.70644756997633
LARK,67.44868035190615
WPM,62.78081360048575
DGICA,62.07177814029365
ACNT,60.906862745098046
VLGEA,57.50915750915752
SPNT,56.707317073170714
