Symbol,RSI_Against_Market_3m
TRVI,96.86667822170335
QFIN,96.48988059451912
YI,96.20526362958782
KC,95.85058892391743
MYTE,95.57247763593972
DAO,95.15499714512553
CPIX,94.73596816503886
FUTU,94.44461290197788
SABR,94.28770333932549
WGS,94.22250957832846
ASM,94.14769596443391
CHEF,93.85325226122602
AZ,93.74285347278608
VRNA,92.91782544287346
USAP,92.61690802104363
GL,91.91748679795231
TGTX,91.8498084734477
ALHC,91.81129283656749
TBRG,91.58363740448924
CDMO,91.49728700198249
SSY,91.09850525163213
ARQT,91.08598328395377
FNA,90.83097377451712
PLX,90.55754653266938
ROOT,90.45598228449686
HIPO,90.02003252729246
ZIM,89.77520198422349
OPRT,88.99142494900637
FSI,88.22055318051996
MDGL,88.15452490277164
CXDO,88.05296526410831
HMY,87.97250867522686
BMTX,87.6489064408263
SARK,87.58385534879224
CMRX,87.40977043933039
COEP,87.23882565545733
EWTX,87.22311513290104
DESP,87.04123970067712
PTCT,86.89656524810911
SE,86.80815820107136
CYD,86.75965266300398
LTH,86.33645421557944
USAU,86.04467074477381
HWM,85.75354725938355
XNET,85.3537360727687
EXFY,85.04380013391611
FPH,84.99217018709146
NWG,84.13653018258553
CURI,83.93801746396989
LX,83.87294530885383
XERS,83.55783132501688
VEON,82.86120689208775
NGD,81.65304415707627
TMQ,81.14407964133918
SWIM,81.06074696304351
SSRM,81.02166374221333
API,79.93068327564704
AREN,79.00083039789607
IBIO,78.72585913161882
TGI,78.51565445605627
DBVT,77.39900937735715
TUYA,77.09255192611185
COMP,75.96968075668593
APEI,75.13751721040894
CDXC,74.974946608187
PSTX,74.32460795679603
DOCS,74.1800653927575
BABX,72.98086071079787
NAK,72.42750326363806
ALDX,72.42743418843591
YINN,71.53346290846557
SATS,71.34735048915235
ACIW,70.6027419707002
HSAI,70.09738644977021
VNET,69.57202570807223
XPEV,69.50747827188425
JVA,69.1382871487848
TPL,68.9885616072447
IDCC,68.8856501009337
ERJ,68.1773797085918
YRD,67.44828620200327
CRMD,67.25285222207322
VIOT,67.23768137520872
NLOP,66.83631776337621
PBI,66.79611732030557
ORGO,66.3256731279921
ALTM,64.541165735742
CTV,62.59846166387117
JYD,59.56275980531528
MTTR,59.33428144705133
