Symbol,Price_Increase_Percentage,Screeners,Max_RSI_3M,Max_Market_RSI_Diff_3M,Volume-Acceleration(%),Min_Market_RSI_Diff_3M,Price_Tightness_1W,NumberOfSpikes
YI,2134.146341463415,4,99.35794542536115,64.45987776285337,,-45.04097585653906,23.580786026200876,
CMRX,1029.3333333333335,5,84.73413379073754,57.231887735164804,244.30,-10.18260305014838,42.621015348288076,
KC,1001.980198019802,5,87.68177929854578,37.01881776717353,113.34,-32.6773394929027,24.20779220779221,
PRCH,595.2380952380953,5,77.29729729729729,42.97607258221066,,-40.210163246006985,24.520547945205482,1
IBIO,556.1904761904761,5,85.03937007874016,49.321262586602884,,-1.2646041820916878,22.93178519593614,1
COEP,493.07359307359303,4,91.93899782135075,42.92229353235796,,-15.76624724064493,18.134715025906733,
PSTX,417.1122994652406,3,63.6363636363637,25.541808197112502,,8.568575304196962,,
SARK,294.6570397111913,4,84.43746430611077,52.25455885570395,,-41.49797220903868,28.960848884010243,
XPEV,266.10687022900765,4,80.41666666666669,52.435199260749,,-6.686371776612091,19.599666388657212,
BMTX,255.86206896551724,4,93.33333333333346,32.91928849892691,168.52,6.828525725686362,,
KGEI,247.01754385964912,6,87.71929824561401,37.79258284590551,401.74,4.1900783187035415,22.111111111111114,1
GL,239.86032074495603,4,84.19721871049305,40.63700104567326,,-7.810234676940873,7.276048405510305,
TRVI,221.304347826087,5,78.94736842105264,46.69434389127832,205.76,-29.802676238936627,42.8958051420839,
ORGO,210.64814814814815,6,83.13253012048193,40.25293960523642,125.88,-24.82210353755176,25.633383010432187,1
JFIN,190.8108108108108,5,85.54216867469881,35.38175940865757,74.01,-10.448086361262625,34.94423791821561,
FNA,182.36559139784944,5,96.62162162162163,48.13195923207384,192.67,-7.319645327129031,0.612557427258806,
ZLAB,181.82492581602375,4,86.01769911504425,52.04310173410548,,-22.589543752909023,17.715188207423004,
SSRM,179.02813299232736,4,85.15624999999999,35.8631230805024,,-7.144967048916932,11.268939393939407,
MPAA,172.70642201834863,6,84.31876606683805,54.88720523993344,62.50,-44.54456453869288,14.111498257839731,1
ALTM,168.0365296803653,4,87.87878787878788,54.24732447149931,,-10.116839290835472,0.3418803418803346,
MP,159.4810379241517,4,84.04825737265415,31.474735441470692,,-19.665068259764,17.733798991074895,
CXDO,151.36986301369865,5,80.19801980198022,32.93028514299386,,-15.16189640265916,24.795640326975484,1
HEES,149.45812807881774,6,93.08613364233292,45.16432797892591,279.02,-30.112022815685023,3.224128965158615,1
CWEB,141.83501683501686,5,78.9808917197452,34.09551588597774,61.60,-27.916317242189997,22.481524698560875,
YRD,132.3232323232323,4,81.60535117056857,34.48555738132278,,-6.30872917627449,15.782122905027931,
TGI,130.79019073569484,5,97.66081871345034,50.54102492420455,109.37,-7.511262153187658,0.7880220646178064,
AUPH,126.53927813163482,4,66.9291338582677,32.824615853168055,,-44.549172577850555,12.31638418079096,
LBRDK,118.46749892380541,4,78.00534283170089,47.88753386045542,,-18.553995220141154,8.411633109619698,
NARI,117.77838279335693,5,98.5365853658537,44.44101204719184,54.89,-15.012956571076323,,1
AXSM,117.01762595538916,5,85.75757575757576,36.49902949639569,52.91,-22.850208229777714,10.836984090385064,
PYCR,115.1098901098901,5,85.27272727272728,43.32823122771785,116.22,-39.98000191587439,0.31263957123716074,
LBRDA,112.9319482722069,4,77.41935483870957,48.85373011907042,,-16.87510629581734,8.386734120292308,
BEKE,108.73397435897436,4,82.4,53.50962769704658,,-45.056427150491785,12.9251700680272,
PTVE,105.86881472957424,4,84.99999999999964,54.82808611489598,,-6.5450982229377175,0.39128004471772093,
AMPL,101.89959294436908,5,74.23664122137404,25.738342380504108,57.13,-15.081083235625705,9.490740740740744,
