Symbol,RSI_12M
BHAC,100.0
BK,100.0
FORTY,100.0
OVBC,100.0
EYE,99.86301369863011
PM,99.78835978835983
HWM,99.7639034627492
SPNT,99.71098265895954
DXPE,99.68725566849108
DAVE,99.58613554061044
NUTX,99.24812030075188
FRAF,99.18699186991869
TPR,99.11406423034325
MTEN,99.10714285714286
NTNX,99.02464065708413
IMAX,98.97172236503859
GPOR,98.86749716874299
TPL,98.79380757906729
LNG,98.60391803647826
ETON,98.51851851851849
FCAP,98.37745516652436
WLDN,98.29192546583852
DUOL,98.24372056514915
LLYVA,98.2285208148804
MSTR,98.17460317460323
GE,98.15837937384894
GWRE,98.15317762085836
BA,98.02796701326646
GFL,98.00399201596804
ODD,97.99745708836618
RDUS,97.89343246592315
GTX,97.67441860465115
TGI,97.66081871345034
LRN,97.6319350473613
PRA,97.57505773672052
NRG,97.53086419753086
JCI,97.36174530695081
CSV,97.21311475409834
SPOT,97.11972891566263
AEVA,97.07357859531773
RBLX,97.03745108999445
HNRG,97.00748129675814
EVRI,96.90265486725659
FTK,96.81668496158068
IFS,96.75174013921112
GEV,96.66941467436112
HIMS,96.65871121718378
IDT,96.62828947368423
CEE,96.58703071672356
APEI,96.56357388316158
T,96.4630225080386
TISI,96.39084507042253
RBRK,96.21848739495799
REVG,96.19289340101518
DAN,96.18181818181817
QFIN,96.17151607963241
APG,96.17058311575285
COE,96.06741573033709
BFC,96.05418138987042
FUTU,95.90719499478624
AHR,95.87628865979379
MRX,95.73170731707316
SKWD,95.71810883140056
SE,95.66563467492259
ULS,95.56962025316463
GRPN,95.54655870445347
EQH,95.54597701149423
DASH,95.51920341394029
SPRY,95.45454545454547
UTI,95.45454545454547
CAE,95.42372881355938
CSGS,95.3846153846154
ERJ,95.31680440771345
CDTX,95.1515151515151
MUFG,95.12195121951221
GRND,95.01779359430608
LPLA,95.01352463836298
SFM,94.853875476493
SONY,94.85094850948506
NTES,94.77513227513236
IBM,94.77106475209962
NGVC,94.72450175849943
ESE,94.66248037676614
ATEC,94.62809917355372
PAYC,94.60704607046068
PHR,94.46022727272722
TRP,94.36008676789591
LOPE,94.3013100436681
SEZL,94.17228191586231
TPB,94.15270018621973
OKTA,94.14201183431952
BHF,94.1379310344827
SRBK,94.07894736842107
PLTR,94.07582938388626
ESLT,94.0682414698163
CPS,93.9180537772087
AU,93.80281690140848
VRNA,93.70529327610869
AS,93.66120218579233
BRDG,93.62549800796806
APH,93.53187529083289
SRAD,93.42948717948718
IDCC,93.34269662921348
JFIN,93.33333333333334
UGI,93.31103678929779
BJ,93.29205366357064
BBVA,93.26241134751774
HEES,93.10477657935286
AXON,92.89894654701524
HCSG,92.82051282051282
PSO,92.7756653992395
GBNY,92.59259259259258
ODC,92.4129353233831
CBNK,92.1917808219178
DGICA,92.16216216216219
RBA,92.13002566295978
DCTH,92.1241050119332
JUNE,92.09677419354838
CHEF,92.09237228831353
OLLI,92.07807118254874
FMS,92.05298013245039
NIC,91.99178644763859
XYF,91.97530864197529
ATGE,91.95947402457428
PLNT,91.91994069681243
UFCS,91.8918918918919
AXS,91.86560565870909
CRK,91.85750636132319
FEIM,91.83673469387752
WELL,91.82724252491684
BCRX,91.82389937106919
ATRO,91.68157423971378
