Symbol,Nr_Of_Spikes
ACHR,1
AKRO,1
AMADY,1
ATGE,1
ATRO,1
AXON,1
BCRX,1
BSX,1
CGNT,1
CHTR,1
CLBR,1
CMP,1
CPS,1
DAVE,1
DMYY,2
DNKEY,1
DOMO,2
DUOL,1
ENLT,1
ESP,1
ESQ,1
EXE,1
EXEL,1
FCAP,1
FNMA,1
FROG,1
FTK,2
GOGO,1
GRPN,1
GT,1
HCSG,2
HEES,1
HIMS,1
HNRG,2
HRTG,1
IBEX,1
IIIV,1
IPI,1
IRTC,1
KEN,1
KEP,1
LPLA,1
LSBK,1
LTBR,1
NC,1
NEON,1
NGVC,1
NPSNY,1
NRG,1
NTES,1
NTNX,1
NXT,1
ODD,1
ORANY,1
PAYX,1
PODD,1
PRDO,1
PRE,1
QBTS,1
RBC,1
RDVT,1
REVG,1
RYTM,1
SEZL,1
SLNO,1
SNOW,1
SSBK,1
SSYS,1
SWDBY,1
SXT,1
TATT,1
TGI,1
TME,1
TPB,1
UNFI,1
WTS,1
X,1
YARIY,1
