Symbol,Price_Increase_Percentage
NUTX,4275.0
QBTS,1586.875416389074
MTEN,822.2222222222223
SEZL,793.6389148737138
AEVA,751.8181818181816
BHAC,646.268656716418
ETON,575.4716981132075
DAVE,567.3966796185094
VRNA,551.2730465320457
PLTR,547.0673776054291
DBVT,479.72329326377866
HIMS,441.7965850037119
MSTR,430.2734375
QURE,414.2091152815013
KINS,399.9999999999999
ACHR,393.51201871942135
XYF,380.9782608695652
FTK,370.7964601769911
JUNE,354.54545454545456
BKTI,314.9957155098543
XPEV,311.51515151515156
COE,306.0031595576619
JFIN,305.5
HNRG,301.84358346536084
TISI,297.7711738484398
DUOL,275.68424681144427
BBAR,254.7517730496454
GRPN,247.09677419354836
EAT,241.60298560511814
AS,236.30069238377845
UNFI,231.04761904761904
NPCE,227.52293577981652
BROS,222.25519287833825
SKE,220.7317073170732
CRK,216.27906976744188
FARO,215.38461538461542
RBRK,208.75088214537755
NGVC,206.1
TPL,205.78332411504428
SE,200.56363636363636
GEV,198.31344577028202
TATT,189.37351308485333
PCRX,183.78136200716847
CDTX,180.27613412228797
RDUS,179.94323557237465
GRND,177.09497206703915
LFMD,175.43859649122805
MPAA,172.70642201834863
MRX,172.1456150027579
DCTH,170.93206951026855
QFIN,169.93932708218423
AXON,168.96753436677392
SSRM,168.74999999999997
CHWY,167.42712294043093
ATEC,166.90573770491804
TPB,164.7827507350539
TLN,161.95939086294413
SRAD,160.32225579053377
UTI,159.80966325036604
AHR,159.7659107534747
RBLX,159.63912630579296
TPR,157.87680953732615
CPS,157.76277724204436
LRN,156.60079051383403
FRHC,156.57223796033995
APEI,154.99999999999997
USAU,154.77707006369428
RDVT,154.08163265306118
FUTU,152.66409266409266
DXPE,147.53757225433526
HEES,147.5073313782991
CRS,146.42219186718506
CHCI,145.4237288135593
SPRY,145.1655629139073
LLYVA,144.71419791026426
NRG,144.57072646290894
ESLT,143.24015972618363
EXEL,142.55213505461768
SFM,141.4216347450769
CCB,139.7983114446529
FEIM,135.84686774941997
LQDA,134.98789346246974
TGI,133.87829246139873
CXW,132.68156424581002
MRNO,132.45614035087718
SPOT,130.34331933210677
VEON,127.77777777777779
CRWD,126.87615158607638
ATGE,125.0200738718484
ERJ,124.2868462757528
ODD,123.17334148578416
MLYS,123.05825242718444
DAN,122.95514511873348
KGC,121.66666666666669
LINC,121.3717693836978
EVRI,121.35007849293562
PRA,120.26022304832713
SLNO,119.30679664229622
DASH,116.72372130487317
IBEX,115.44660846205505
WILC,114.91442542787284
ATRO,114.50813871196036
IDCC,114.19205909510619
PLMR,113.53694836288342
SSYS,112.89256198347108
HWM,112.03956787713132
AU,111.92950745594217
OVBC,111.83462532299741
NYAX,110.97981290004925
HCI,110.9038737446198
FTNT,110.40864944108483
PEN,109.45945945945945
SNEX,109.28279129872926
LPLA,108.46733265665902
YMM,107.95795795795794
ESQ,107.67849124382577
VIRT,106.86774941995358
DB,106.86131386861315
LBRDA,106.12039460438896
LOAR,105.50515463917527
GWRE,103.98513701811424
EYE,103.03347280334727
BCOW,100.0
FCAP,98.70848708487084
GBNY,98.32635983263597
ULS,97.77113346017941
TITN,96.50406504065042
RYTM,94.99573500142165
PLYA,93.52517985611509
NTNX,91.78777393310264
SKWD,90.48473967684019
FFIV,90.33140772271209
DRS,90.05719313682359
EQT,90.0066622251832
LI,89.90825688073392
CYBR,88.45120859444941
ITRN,88.34991708126036
BCRX,87.66891891891892
PAYC,87.55555555555554
CHEF,86.87833661140769
URBN,86.68044890726522
IMAX,85.87684069611781
WLDN,83.89113644722323
ESE,83.246228182625
HURN,82.63226110521974
PERI,82.05861329521086
PLNT,81.63804491413474
FOXA,81.01694915254237
OKTA,80.79648526077095
REVG,80.03714020427114
IDT,79.99408983451534
UNB,79.52380952380955
PHR,78.85178676039837
SENEA,78.64452597026452
PM,78.39886788638431
TKO,77.73918221516473
CPRX,77.34237288135594
LARK,77.06788362806616
COOP,76.91815856777492
DRVN,75.93984962406013
UFCS,75.72062084257206
CBNK,74.8586118251928
SLM,74.72924187725633
UNM,74.61761058288549
NWG,74.48717948717949
AR,73.76681614349775
LAUR,73.6029411764706
CAE,73.16614420062697
GTX,72.46790299572041
OMAB,72.39336492890996
BCS,71.87807276302853
MUFG,71.77142857142856
BRDG,71.65932452276064
CSV,71.63312693498453
SDGR,71.50602409638552
CAKE,71.13432835820895
CSGS,70.9228824273072
CEE,70.16293279022405
GFL,70.15706806282724
MT,70.07797270955164
DGICA,70.06525285481241
MAG,69.79627989371127
ETR,69.7522565776839
T,69.66686148451198
SAP,69.09101042189153
IFS,68.87850467289721
ODC,68.71394638615541
LNG,68.36567993203946
WPM,68.24480369515011
MGIC,67.6130389064143
SPNT,66.5268456375839
SONY,66.43267389917038
OLLI,66.2695664219421
CVCO,66.11997100398696
CAH,65.63271439304496
BBUC,64.74464579901152
ASND,64.73129894679988
NIC,64.53947368421052
CHTR,64.27121701871758
IBM,63.87207240261726
HCSG,63.37719298245615
BBVA,63.16359696641387
NTES,62.900461437046815
BA,62.678460583488516
BSET,62.5619834710744
CCEC,62.384669978708295
PUK,62.26546212647672
MMM,61.58536585365852
UGI,61.29032258064515
UVE,60.72727272727273
TIGO,60.64630367419211
FMS,60.62465142219744
FYBR,60.49938600081867
NATH,60.31650339110778
BHF,60.30000000000001
ALKS,59.17030567685592
GNTY,59.01517956312476
IIIV,58.93333333333334
WELL,58.91550566302497
APH,58.773050940295754
WRLD,58.70974076983503
BJ,58.65321629765492
BK,58.27212311997202
RBKB,57.94520547945204
BWFG,57.89473684210525
VLGEA,57.50915750915752
FRAF,57.374517374517374
DE,56.90182245737802
BLX,56.667884545122405
VIPS,56.000000000000014
DRI,55.91049609892534
CPBI,55.62248995983935
FORTY,54.91530331547707
THFF,54.91329479768786
LOPE,54.77848343408065
GPOR,54.73004153207198
CNP,54.702872884691075
GE,54.673768308921446
WMB,54.63891675025074
BFC,54.5974025974026
RBA,54.11982353778284
PAC,54.10585186195607
RRC,53.719311102968135
EQH,53.59297860669226
SRBK,52.68456375838927
JCI,52.309127662882915
KEN,52.252252252252276
VEEV,52.08810572687225
TRP,52.02842759846017
PSO,51.95246179966043
CASY,51.31734046959128
ATO,50.8966387311886
AXS,50.77918259335491
ASTE,50.351370344342925
CME,50.225485055060325
APG,50.21138211382114
