Symbol,Volume-Acceleration(%)
ACHR,94.67
AEM,58.83
AEVA,314.28
AGX,68.79
ALIZY,73.23
ALMU,583.25
AS,77.94
ATRO,99.75
AXAHY,51.41
BAESY,87.65
BBUC,77.37
BCH,78.56
BCRX,72.41
BFC,66.77
BHF,135.63
BH,258.72
BTI,55.12
BYDDF,91.63
CBNK,108.26
CCHGY,381.36
CDTX,165.43
CFSB,251.16
CIB,54.61
CLBR,335.34
CNH,56.61
CNL,455.25
COOP,154.68
CPS,158.30
CRS,57.89
DANOY,82.59
DAVE,73.83
DGICA,92.04
DMYY,363.98
DNKEY,99.34
DRD,57.65
DTEGY,65.24
EADSY,60.03
ECBK,78.77
ESLT,221.50
ESP,69.18
EVRI,76.67
EXE,56.25
EYE,91.23
FARO,332.98
FCAP,221.30
FDP,50.18
FEIM,83.33
FER,131.81
FNV,65.21
FRAF,93.76
FTK,170.21
GBFH,154.97
GCMG,90.46
GOGO,111.70
GRND,138.94
GTX,94.16
GT,60.54
HCMLY,64.21
HEES,99.61
HIMS,255.10
HKXCY,55.79
HNRG,88.24
HOOD,126.96
HSAI,235.32
IBEX,69.63
IFS,101.01
IPI,83.79
ISNPY,52.27
KEN,119.74
KEP,103.24
KT,52.07
LARK,286.56
LBRDA,50.95
LFMD,115.99
LINC,115.72
LOAR,132.47
LSBK,96.06
LTBR,97.20
MAG,97.51
MIELY,55.04
MLYS,197.86
MRX,128.33
MUFG,151.87
MYFW,101.13
NAGE,64.73
NGVC,112.58
NRDBY,98.91
NTDOY,84.89
NUTX,176.64
NWG,115.30
NYAX,72.32
ODD,68.85
ONIT,112.41
OPFI,76.02
OPOF,247.40
ORLA,119.48
PAY,80.65
PBH,61.73
PLMR,108.15
PLYA,89.66
PPTA,169.74
PRA,187.26
PSO,125.74
QBTS,193.11
QFIN,58.93
RDUS,274.54
RDVT,132.10
RGLD,65.38
RNMBY,201.14
RPRX,65.12
SAP,72.26
SEZL,121.21
SGAPY,114.00
SGI,99.97
SIEGY,63.68
SII,126.03
SKE,80.86
SLNO,71.60
SNEX,122.99
SONY,92.27
SRAD,244.27
SSBK,149.11
STN,73.58
SVT,382.20
SWTX,396.85
SXT,148.60
TATT,333.68
TFPM,93.58
TGI,71.63
TIGO,282.75
TPB,61.24
TPC,60.57
TXNM,103.27
ULS,51.53
USAU,180.68
UTI,93.60
VEON,164.78
VLGEA,73.99
VRNA,58.75
VSEC,55.89
WILC,100.56
WTS,55.81
XIACY,167.47
XYF,388.86
