Symbol,Price_Increase_Percentage,Screeners,Price_Tightness_1W,RSI_6M,Volume-Acceleration(%),MVP_Last_6Mo,Nr_Of_Spikes,IBD_RSI,RSI_12M,RSI_3M
RGC,18381.848184818482,5,28.566071428571433,95.84961343420068,,,,99,95.84961343420068,95.84961343420068
NUTX,4329.807692307692,7,11.123097887803771,90.27550016398818,176.64,1,,99,99.24812030075188,90.27550016398818
QBTS,2533.5776149233848,7,23.70351631672148,88.50758180367119,193.11,,1,99,88.50758180367119,88.50758180367119
FNCH,1881.2499999999995,5,10.036363636363642,93.11023622047244,,,,97,96.6996699669967,72.34636871508378
FNMA,1067.6470588235295,6,39.126784214945424,93.89587073608618,,,1,99,93.89587073608618,93.89587073608618
SEZL,910.1785714285714,8,14.539508573448826,97.51945525291829,121.21,1,1,99,97.51945525291829,97.51945525291829
MTEN,822.2222222222223,5,24.91846053489889,95.84120982986768,,,,97,99.10714285714286,95.84120982986768
JG,787.2881355932204,5,12.560175054704597,86.25506985128436,,,,97,91.70454545454547,72.76951672862452
AEVA,751.8181818181816,7,22.85395763656634,97.07357859531773,314.28,1,,99,97.07357859531773,97.07357859531773
LTBR,700.9049773755655,7,44.51977401129943,85.70736434108525,97.20,,1,99,89.10012674271229,85.70736434108525
NEON,689.4736842105264,6,12.545454545454552,87.98283261802572,,,1,97,87.98283261802572,87.98283261802572
DAVE,667.1140939597315,8,12.32674863010544,99.58613554061044,73.83,1,1,99,99.58613554061044,99.58613554061044
BHAC,646.268656716418,5,0.0,100.0,,,,84,100.0,100.0
HSAI,586.9318181818181,6,15.898111550285469,76.57864523536165,235.32,,,98,92.67441860465117,76.57864523536165
ETON,575.4716981132075,5,6.90647482014389,96.46840148698885,,,,98,98.51851851851849,96.46840148698885
VRNA,575.4170324846357,7,7.708306252437288,93.70529327610869,58.75,1,,98,93.70529327610869,93.70529327610869
PLTR,546.7538759689922,5,6.623396934626212,91.2712233347845,,,,98,94.07582938388626,81.04257167680277
ALMU,536.0,7,27.106918238993714,95.26387009472258,583.25,1,,99,96.27367135003054,95.26387009472258
OPFI,482.2036124794746,6,18.551042008832447,94.04761904761904,76.02,,,98,94.04761904761904,89.74358974358974
HIMS,441.7965850037119,8,18.987341772151897,96.65871121718378,255.10,1,1,97,96.65871121718378,93.18971507991661
MSTR,430.2734375,5,15.908237943328954,98.17460317460323,,,,95,98.17460317460323,98.17460317460323
CNL,416.0,6,7.111501316944692,94.12955465587045,455.25,,,98,94.12955465587045,94.12955465587045
QURE,414.2091152815013,5,7.8125,90.13732833957552,,,,97,90.67865903515946,90.13732833957552
XYF,399.99999999999994,6,13.023373592134671,85.67901234567901,388.86,,,98,91.97530864197529,83.33333333333331
ACHR,393.51201871942135,7,11.571675302245248,81.50851581508513,94.67,,1,97,88.06970509383378,81.50851581508513
HOOD,380.1859799713876,6,6.703411291523899,85.61983471074379,126.96,,,97,89.91756499682943,85.61983471074379
NAGE,379.82646420824295,6,10.473588342440804,84.59259259259261,64.73,,,98,90.80459770114943,84.59259259259261
JUNE,354.54545454545456,5,24.97793468667255,92.09677419354838,,,,98,92.09677419354838,92.09677419354838
FTK,349.5774647887324,7,10.49264235444658,96.81668496158068,170.21,,2,98,96.81668496158068,96.81668496158068
HRTG,333.87622149837136,6,9.196787148594375,89.24731182795699,,,1,97,90.44401544401545,89.24731182795699
RNMBY,329.65489963413427,7,8.287496260155116,95.44198895027627,201.14,1,,98,95.44198895027627,77.04536515012457
FNMAS,315.5124653739613,5,20.666666666666664,87.81725888324871,,,,97,93.8095238095238,87.81725888324871
BKTI,314.9957155098543,5,9.07928388746804,84.0670859538784,,,,96,90.52808046940484,84.0670859538784
XIACY,313.12499999999994,6,7.240592930444696,88.17934782608698,167.47,,,96,89.92974238875865,80.05159071367152
COE,306.0031595576619,5,5.684104627766596,90.08438818565396,,,,93,96.06741573033709,83.84710234278666
HNRG,305.54721096273744,7,23.845256215119235,89.30921052631575,88.24,,2,97,97.00748129675814,89.30921052631575
JFIN,305.5,5,10.711665443873814,85.54216867469881,,,,96,93.33333333333334,76.86274509803918
SVT,296.79089026915113,6,0.7874015748031606,98.14295725297829,382.20,,,98,98.14295725297829,98.14295725297829
PRE,288.02588996763757,6,39.11592994161801,95.75471698113208,,,1,97,95.75471698113208,95.75471698113208
AS,280.90999010880313,6,9.114515710205136,93.66120218579233,77.94,,,96,93.66120218579233,93.66120218579233
GRPN,280.51612903225805,6,13.021363173957273,95.54655870445347,,,1,98,95.54655870445347,95.54655870445347
DUOL,275.68424681144427,7,4.124525322404792,98.24372056514915,,1,1,96,98.24372056514915,98.24372056514915
ORLA,268.82716049382714,6,8.151658767772522,85.85365853658536,119.48,,,97,87.82051282051285,79.89556135770236
BBAR,254.7517730496454,5,16.906946264744434,80.06012024048096,,,,94,87.65652951699467,77.5355450236967
EAT,241.60298560511814,5,14.56617734813225,89.35694909845222,,,,95,89.42678942678945,76.17207192068557
RBRK,238.3909668313338,5,9.89572471324297,96.76113360323886,,,,97,96.76113360323886,96.76113360323886
AGX,238.01353691169527,7,14.151997764738761,96.32010640656169,68.79,1,,97,96.32010640656169,96.32010640656169
UI,237.9692219185963,5,7.0539317598141205,100.0,,,,95,100.0,100.0
