Date,Symbol,BanDurationInWeeks
2025-03-17,CMRX,12
2025-03-17,RDACU,12
2025-03-17,ALF,12
2025-03-17,CUB,12
2025-03-17,CHEB,12
2025-03-17,LPAA,12
2025-03-17,FSHP,12
2025-03-17,MACI,12
2025-03-17,RIBBU,12
2025-03-17,CEP,12
2025-03-17,CCIRU,12
2025-03-17,LPBBU,12
2025-03-17,FDSB,12
2025-03-17,FBLA,12
2025-03-17,DECA,12
2025-03-17,ITCI,12
2025-03-17,PYCR,12
2025-03-17,ATSG,12
2025-03-17,DESP,12
2025-03-17,PTVE,12
2025-03-17,PLYA,12
2025-03-17,TGI,12
2025-03-17,VOXX,12
2025-03-17,VBFC,12
2025-03-17,GB,12
2025-03-17,GBNY,12
2025-03-17,HEES,12
2025-03-19,PCSC,12
2025-03-19,GPAT,12
2025-03-19,LPBB,12
2025-03-19,ATIIU,12
2025-03-19,MAYA,12
2025-03-19,KFII,12
2025-03-19,RFAI,12
2025-03-19,AACBU,12
2025-03-19,PDCC,12
2025-03-19,CCIX,12
2025-03-19,KBDC,12
2025-03-20,G,12
2025-03-21,TRGP,12
2025-03-24,LXEH,12
2025-03-24,FNA,12
2025-03-24,BHAC,12
2025-04-02,LX,12
2025-04-05,BECN,24
2025-04-05,K,48
2025-04-05,FYBR,24
2025-04-05,FUSB,48
2025-04-05,PRA,24
2025-04-05,LNSR,12
2025-04-05,RDUS,12
2025-04-16,PDCO,48
2025-04-15,EVRI,48
2025-04-18,AIMAU,48
2025-04-19,NYC,48
2025-04-19,BLX,48
2025-05-05,SKWD,4
2025-05-05,BUJA,12
2025-05-05,SPNT,12
2025-05-05,FCAP,12
2025-05-05,RBLX,12
2025-05-05,ETON,12
2025-05-05,T,12
2025-05-05,GRND,12
2025-05-05,VRNA,12
2025-05-05,BRBR,12
2025-05-05,ESLT,12
2025-05-05,SFM,12
2025-05-05,AKRO,12
2025-05-05,DGICA,12
2025-05-05,AXS,12
2025-05-05,SLNO,12
2025-05-05,TISI,12
2025-05-05,NI,12
2025-05-05,CAE,12
2025-05-05,ODD,12
