Symbol,IBD_RSI
SEZL,99
HIMS,99
DAVE,99
AEVA,99
XYF,99
ETON,99
PLTR,99
FTK,99
QBTS,99
NUTX,99
DUOL,98
ACHR,98
VRNA,98
HNRG,98
BKTI,98
XPEV,97
DCTH,97
KINS,97
SSRM,97
TATT,97
QURE,97
RBLX,97
NRG,97
TISI,97
UNFI,97
CRK,97
MSTR,97
FARO,97
USAU,96
UTI,96
CDTX,96
GRND,96
NGVC,96
JFIN,96
ATRO,96
VEON,96
SRAD,96
AHR,96
ESLT,96
FRHC,96
AS,96
EAT,96
SE,96
HEES,96
ATGE,96
LRN,95
BBAR,95
AXON,95
HCI,95
EXEL,95
DB,95
CHWY,95
SLNO,95
PLMR,95
COE,95
SPOT,95
APEI,95
HWM,95
TPB,95
MPAA,95
TPR,95
RDVT,95
PRA,95
CRS,95
BROS,95
ODD,94
SKE,94
AU,94
DRS,94
SKWD,94
IBEX,94
TPL,94
QFIN,94
FCAP,94
LINC,94
LLYVA,94
KGC,94
TLN,94
URBN,93
IDT,93
SFM,93
FEIM,93
SPNT,93
ESQ,93
ESE,93
ERJ,93
NWG,93
TIGO,93
CCB,93
TGI,93
IDCC,93
SNEX,93
BBVA,93
PLYA,93
COOP,93
CHEF,93
LBRDA,93
DGICA,93
UGI,92
HURN,92
MGIC,92
CAH,92
IFS,92
PAYC,92
NYAX,92
LARK,92
BCS,92
PM,92
BCRX,92
FMS,92
SENEA,92
SLM,92
DXPE,92
WLDN,92
LPLA,91
VIRT,91
LAUR,91
GWRE,91
CXW,91
WILC,91
CCEC,91
OLLI,91
EQT,91
YMM,90
DRI,90
T,90
BJ,90
NTES,90
ODC,90
GBNY,90
UNM,90
REVG,90
WPM,90
DASH,90
DE,90
UVE,90
CEE,89
DRVN,89
SAP,89
AXS,89
NTNX,89
BRDG,89
CSV,89
ITRN,89
TKO,89
CRWD,89
FOXA,89
CAKE,89
SONY,89
GE,89
IBM,89
CNP,88
BFC,88
CSGS,88
RBA,88
MAG,88
CBNK,88
JCI,88
CHTR,88
FFIV,88
PEN,88
BK,88
FUTU,88
BWFG,88
NATH,88
CME,87
IMAX,87
LNG,87
LOPE,87
SRBK,87
NIC,87
BBUC,87
RBKB,87
FRAF,87
PAC,87
FTNT,87
GPOR,86
EVRI,86
GFL,86
UFCS,86
MMM,86
ETR,86
GNTY,86
BSET,86
KEN,85
CVCO,85
BHF,85
WMB,85
FORTY,85
MUFG,85
BLX,85
VLGEA,84
AR,84
CAE,84
UNB,84
CPRX,84
TRP,84
FYBR,84
THFF,83
CASY,83
ATO,83
RYTM,83
WELL,83
CPBI,82
PLNT,82
EQH,82
CYBR,81
RRC,81
SPRY,80
BCOW,80
VEEV,79
MRNO,78
PSO,77
IIIV,74
ALKS,72
PHR,66
