Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol
2023-09-05 00:00:00-04:00,24.38,24.47,23.07,23.17,584100,0.0,0.0,,ACIW
2023-09-06 00:00:00-04:00,23.26,23.63,23.2,23.48,290700,0.0,0.0,,ACIW
2023-09-07 00:00:00-04:00,23.32,23.37,23.01,23.14,363500,0.0,0.0,,ACIW
2023-09-08 00:00:00-04:00,23.23,23.23,22.87,23.15,219800,0.0,0.0,,ACIW
2023-09-11 00:00:00-04:00,23.28,23.68,23.09,23.29,282400,0.0,0.0,,ACIW
2023-09-12 00:00:00-04:00,23.29,23.51,23.03,23.23,327700,0.0,0.0,,ACIW
2023-09-13 00:00:00-04:00,23.31,23.53,22.99,23.46,273800,0.0,0.0,,ACIW
2023-09-14 00:00:00-04:00,23.71,23.95,23.53,23.91,293100,0.0,0.0,,ACIW
2023-09-15 00:00:00-04:00,23.91,23.91,23.17,23.54,1057900,0.0,0.0,,ACIW
2023-09-18 00:00:00-04:00,23.54,23.66,23.37,23.5,257800,0.0,0.0,,ACIW
2023-09-19 00:00:00-04:00,23.51,23.88,23.33,23.57,326300,0.0,0.0,,ACIW
2023-09-20 00:00:00-04:00,23.66,24.03,23.33,23.33,282800,0.0,0.0,,ACIW
2023-09-21 00:00:00-04:00,23.14,23.49,22.99,23.4,349900,0.0,0.0,,ACIW
2023-09-22 00:00:00-04:00,23.42,23.66,23.19,23.31,326600,0.0,0.0,,ACIW
2023-09-25 00:00:00-04:00,23.12,23.33,22.89,23.02,367700,0.0,0.0,,ACIW
2023-09-26 00:00:00-04:00,22.89,23.51,22.23,22.27,329100,0.0,0.0,,ACIW
2023-09-27 00:00:00-04:00,22.31,22.35,22.0,22.14,375900,0.0,0.0,,ACIW
2023-09-28 00:00:00-04:00,22.03,22.65,22.03,22.43,360100,0.0,0.0,,ACIW
2023-09-29 00:00:00-04:00,22.61,22.95,22.47,22.56,525300,0.0,0.0,,ACIW
2023-10-02 00:00:00-04:00,22.48,22.64,22.03,22.08,543500,0.0,0.0,,ACIW
2023-10-03 00:00:00-04:00,21.87,21.87,20.63,20.74,672600,0.0,0.0,,ACIW
2023-10-04 00:00:00-04:00,20.81,21.75,20.72,20.88,407200,0.0,0.0,,ACIW
2023-10-05 00:00:00-04:00,20.87,21.15,20.7,21.03,532200,0.0,0.0,,ACIW
2023-10-06 00:00:00-04:00,20.87,21.47,20.87,21.09,300100,0.0,0.0,,ACIW
2023-10-09 00:00:00-04:00,20.81,21.58,20.81,21.09,253300,0.0,0.0,,ACIW
2023-10-10 00:00:00-04:00,21.09,21.79,21.04,21.13,303000,0.0,0.0,,ACIW
2023-10-11 00:00:00-04:00,21.21,21.45,20.99,21.26,253500,0.0,0.0,,ACIW
2023-10-12 00:00:00-04:00,21.24,21.24,20.46,20.62,350500,0.0,0.0,,ACIW
2023-10-13 00:00:00-04:00,20.6,20.6,19.95,20.26,334800,0.0,0.0,,ACIW
2023-10-16 00:00:00-04:00,20.54,20.95,20.51,20.79,482500,0.0,0.0,,ACIW
2023-10-17 00:00:00-04:00,20.62,21.81,20.62,21.77,917400,0.0,0.0,,ACIW
2023-10-18 00:00:00-04:00,21.61,22.12,21.34,21.93,641400,0.0,0.0,,ACIW
2023-10-19 00:00:00-04:00,21.84,22.25,21.35,21.47,675500,0.0,0.0,,ACIW
2023-10-20 00:00:00-04:00,21.54,21.54,20.93,21.16,287000,0.0,0.0,,ACIW
2023-10-23 00:00:00-04:00,20.99,21.43,20.25,20.73,251800,0.0,0.0,,ACIW
2023-10-24 00:00:00-04:00,20.89,21.06,20.57,20.82,292000,0.0,0.0,,ACIW
2023-10-25 00:00:00-04:00,20.56,20.68,20.16,20.28,323400,0.0,0.0,,ACIW
2023-10-26 00:00:00-04:00,20.31,20.7,20.21,20.32,413400,0.0,0.0,,ACIW
2023-10-27 00:00:00-04:00,20.27,20.29,19.56,19.75,511100,0.0,0.0,,ACIW
2023-10-30 00:00:00-04:00,19.93,20.01,19.68,19.92,482800,0.0,0.0,,ACIW
2023-10-31 00:00:00-04:00,19.93,20.45,19.68,20.37,398900,0.0,0.0,,ACIW
2023-11-01 00:00:00-04:00,20.31,20.67,19.83,20.24,585200,0.0,0.0,,ACIW
2023-11-02 00:00:00-04:00,20.62,23.07,20.62,23.03,971800,0.0,0.0,,ACIW
2023-11-03 00:00:00-04:00,23.35,24.27,23.03,24.09,786300,0.0,0.0,,ACIW
2023-11-06 00:00:00-05:00,23.93,24.78,23.9,24.1,1453800,0.0,0.0,,ACIW
2023-11-07 00:00:00-05:00,24.02,24.81,24.02,24.59,583200,0.0,0.0,,ACIW
2023-11-08 00:00:00-05:00,24.55,24.7,24.32,24.45,1041600,0.0,0.0,,ACIW
2023-11-09 00:00:00-05:00,25.5,26.67,25.47,26.04,3241800,0.0,0.0,,ACIW
2023-11-10 00:00:00-05:00,26.11,26.57,25.68,26.1,21710900,0.0,0.0,,ACIW
2023-11-13 00:00:00-05:00,25.91,26.22,25.7,25.96,1002700,0.0,0.0,,ACIW
2023-11-14 00:00:00-05:00,26.94,26.94,25.95,26.62,965400,0.0,0.0,,ACIW
2023-11-15 00:00:00-05:00,26.55,26.6,25.96,26.05,885700,0.0,0.0,,ACIW
2023-11-16 00:00:00-05:00,25.92,26.2,25.48,25.6,1284700,0.0,0.0,,ACIW
2023-11-17 00:00:00-05:00,25.84,26.24,25.61,25.73,1039300,0.0,0.0,,ACIW
2023-11-20 00:00:00-05:00,25.7,26.55,25.61,26.52,947600,0.0,0.0,,ACIW
2023-11-21 00:00:00-05:00,26.5,26.95,25.56,26.35,690300,0.0,0.0,,ACIW
2023-11-22 00:00:00-05:00,26.54,26.82,25.75,25.8,549000,0.0,0.0,,ACIW
2023-11-24 00:00:00-05:00,25.68,26.22,24.76,26.22,262500,0.0,0.0,,ACIW
2023-11-27 00:00:00-05:00,26.17,26.58,25.09,26.55,764200,0.0,0.0,,ACIW
2023-11-28 00:00:00-05:00,26.56,27.1,26.43,27.07,595900,0.0,0.0,,ACIW
2023-11-29 00:00:00-05:00,27.42,27.67,27.11,27.15,1655400,0.0,0.0,,ACIW
2023-11-30 00:00:00-05:00,27.04,27.04,26.43,26.74,1277600,0.0,0.0,,ACIW
2023-12-01 00:00:00-05:00,26.85,27.43,26.69,27.42,1152600,0.0,0.0,,ACIW
2023-12-04 00:00:00-05:00,27.36,27.91,27.22,27.6,597700,0.0,0.0,,ACIW
2023-12-05 00:00:00-05:00,27.51,27.95,27.25,27.42,361500,0.0,0.0,,ACIW
2023-12-06 00:00:00-05:00,27.4,27.95,27.12,27.13,569600,0.0,0.0,,ACIW
2023-12-07 00:00:00-05:00,27.05,27.64,26.87,27.43,515200,0.0,0.0,,ACIW
2023-12-08 00:00:00-05:00,27.28,27.87,27.28,27.83,487500,0.0,0.0,,ACIW
2023-12-11 00:00:00-05:00,27.72,28.2,27.72,28.0,495900,0.0,0.0,,ACIW
2023-12-12 00:00:00-05:00,27.9,28.52,27.85,28.32,584200,0.0,0.0,,ACIW
2023-12-13 00:00:00-05:00,28.29,29.33,28.11,29.24,653000,0.0,0.0,,ACIW
2023-12-14 00:00:00-05:00,29.68,30.43,29.49,29.64,1033400,0.0,0.0,,ACIW
2023-12-15 00:00:00-05:00,29.69,29.91,29.24,29.72,3214400,0.0,0.0,,ACIW
2023-12-18 00:00:00-05:00,29.77,29.98,29.4,29.73,628700,0.0,0.0,,ACIW
2023-12-19 00:00:00-05:00,29.91,30.52,29.91,30.36,652100,0.0,0.0,,ACIW
2023-12-20 00:00:00-05:00,30.36,30.91,29.67,29.69,917700,0.0,0.0,,ACIW
2023-12-21 00:00:00-05:00,30.01,30.36,29.68,30.09,395800,0.0,0.0,,ACIW
2023-12-22 00:00:00-05:00,30.23,30.43,29.71,30.31,441000,0.0,0.0,,ACIW
2023-12-26 00:00:00-05:00,30.47,30.77,30.35,30.56,313100,0.0,0.0,,ACIW
2023-12-27 00:00:00-05:00,30.57,30.77,30.44,30.6,474300,0.0,0.0,,ACIW
2023-12-28 00:00:00-05:00,30.43,30.78,30.43,30.56,337100,0.0,0.0,,ACIW
2023-12-29 00:00:00-05:00,30.58,30.85,30.38,30.6,586800,0.0,0.0,,ACIW
2024-01-02 00:00:00-05:00,30.28,30.66,30.01,30.38,553300,0.0,0.0,,ACIW
2024-01-03 00:00:00-05:00,30.03,30.26,29.51,29.53,781200,0.0,0.0,,ACIW
2024-01-04 00:00:00-05:00,29.6,29.79,29.28,29.33,913400,0.0,0.0,,ACIW
2024-01-05 00:00:00-05:00,29.05,29.49,28.94,29.31,730700,0.0,0.0,,ACIW
2024-01-08 00:00:00-05:00,29.3,30.02,29.3,30.02,616700,0.0,0.0,,ACIW
2024-01-09 00:00:00-05:00,29.66,29.88,29.47,29.77,907900,0.0,0.0,,ACIW
2024-01-10 00:00:00-05:00,29.64,30.42,29.51,30.41,669400,0.0,0.0,,ACIW
2024-01-11 00:00:00-05:00,30.42,30.83,30.14,30.81,630200,0.0,0.0,,ACIW
2024-01-12 00:00:00-05:00,31.0,31.12,30.18,30.19,425800,0.0,0.0,,ACIW
2024-01-16 00:00:00-05:00,29.82,30.2,29.16,30.05,648200,0.0,0.0,,ACIW
2024-01-17 00:00:00-05:00,29.51,29.76,29.44,29.54,704800,0.0,0.0,,ACIW
2024-01-18 00:00:00-05:00,29.82,29.89,29.18,29.61,683900,0.0,0.0,,ACIW
2024-01-19 00:00:00-05:00,29.78,30.02,29.33,30.01,485500,0.0,0.0,,ACIW
2024-01-22 00:00:00-05:00,30.37,30.77,30.26,30.62,629700,0.0,0.0,,ACIW
2024-01-23 00:00:00-05:00,30.93,30.93,30.37,30.76,505100,0.0,0.0,,ACIW
2024-01-24 00:00:00-05:00,30.96,31.23,30.2,30.41,664100,0.0,0.0,,ACIW
2024-01-25 00:00:00-05:00,30.83,30.87,29.96,30.3,599000,0.0,0.0,,ACIW
