Symbol,Max_Market_RSI_Diff_3M
ESLT,68.04514577975984
T,64.8055284192519
COOP,64.3451010271099
DGICA,62.872495931803385
PDEX,58.297973120771175
DRD,56.914519045997125
NGVC,56.040115424266986
SPNT,55.54430730384077
ACNT,55.45147237397778
NUTX,55.098094319756314
TGTX,54.788186927159614
SENEA,52.85463132443262
HCI,52.53087278395361
HMY,51.33040718970517
LARK,49.86648145522342
ALHC,49.075318519044544
NYC,48.0715130222158
AU,47.47672055376047
SLNO,47.18247001437082
WPM,45.09498423624878
HNRG,44.7995355134281
VLGEA,44.67787641040928
BKTI,44.51049556507874
XYF,44.434455404713745
PLMR,44.233853434229246
EZPW,43.54428403628596
AGI,42.720625612405684
BJ,42.454768850925376
AEM,41.448881106320485
KGC,41.40865304213611
APEI,33.1318600022828
