Symbol,Price_Increase_Percentage,Screeners,IBD_RSI,RSI_12M,Nr_Of_Spikes,Volume-Acceleration(%),RSI_3M,RSI_6M,MVP_Last_6Mo,Price_Tightness_1W
FNCH,1881.2499999999995,5,97,96.6996699669967,,,72.34636871508378,93.11023622047244,,10.036363636363642
FNMA,1067.6470588235295,6,99,93.89587073608618,1,,93.89587073608618,93.89587073608618,,39.126784214945424
JG,787.2881355932204,5,97,91.70454545454547,,,72.76951672862452,86.25506985128436,,12.560175054704597
LTBR,700.9049773755655,7,99,89.10012674271229,1,97.20,85.70736434108525,85.70736434108525,,44.51977401129943
NEON,689.4736842105264,6,97,87.98283261802572,1,,87.98283261802572,87.98283261802572,,12.545454545454552
HSAI,586.9318181818181,6,98,92.67441860465117,,235.32,76.57864523536165,76.57864523536165,,15.898111550285469
ALMU,536.0,7,99,96.27367135003054,,583.25,95.26387009472258,95.26387009472258,1,27.106918238993714
OPFI,482.2036124794746,6,98,94.04761904761904,,76.02,89.74358974358974,94.04761904761904,,18.551042008832447
HOOD,380.1859799713876,6,97,89.91756499682943,,126.96,85.61983471074379,85.61983471074379,,6.703411291523899
NAGE,379.82646420824295,6,98,90.80459770114943,,64.73,84.59259259259261,84.59259259259261,,10.473588342440804
HRTG,333.87622149837136,6,97,90.44401544401545,1,,89.24731182795699,89.24731182795699,,9.196787148594375
RNMBY,329.65489963413427,7,98,95.44198895027627,,201.14,77.04536515012457,95.44198895027627,1,8.287496260155116
FNMAS,315.5124653739613,5,97,93.8095238095238,,,87.81725888324871,87.81725888324871,,20.666666666666664
XIACY,313.12499999999994,6,96,89.92974238875865,,167.47,80.05159071367152,88.17934782608698,,7.240592930444696
ORLA,268.82716049382714,6,97,87.82051282051285,,119.48,79.89556135770236,85.85365853658536,,8.151658767772522
UI,237.9692219185963,5,95,100.0,,,100.0,100.0,,7.0539317598141205
CVNA,231.24551512045107,5,96,92.39750203638339,,,84.70037453183522,92.39750203638339,,10.252839414477144
PPTA,208.18363273453096,6,96,89.8243045387994,,169.74,89.8243045387994,89.8243045387994,,9.20415224913495
GBFH,203.83091149273446,7,95,96.0365853658538,,154.97,88.80407124681935,88.80407124681935,1,6.079519186315292
OPOF,198.39416058394164,6,96,94.91298527443102,,247.40,94.91298527443102,94.91298527443102,,4.288883411387729
NET,167.7687198067633,5,94,93.7812567949554,,,93.7812567949554,93.7812567949554,,4.962885712532976
TPC,159.79310344827587,7,94,97.01219512195122,,60.57,97.01219512195122,97.01219512195122,1,8.919564640297317
ANGO,146.800731261426,5,89,87.61904761904762,,,73.95498392282957,81.69934640522877,,11.776061776061766
LLYVK,143.7611940298507,5,91,96.83293745051466,,,82.21771467207574,95.0,,5.408869520635733
CCRD,142.00518582541054,5,94,93.65853658536582,,,92.99820466786355,92.99820466786355,,10.678571428571423
BYDDF,140.55533828705512,6,92,91.82879377431907,,91.63,84.1626213592233,86.22641509433961,,16.924077385790923
PBI,138.3116883116883,5,90,88.99676375404529,,,87.30964467005069,87.30964467005069,,14.502369668246457
CIXXF,124.28991185112632,5,93,98.91304347826083,,,92.79279279279264,92.79279279279264,,1.091703056768559
DOMO,120.96505823627288,6,94,97.01492537313433,2,,91.87499999999999,97.01492537313433,,36.74698795180723
SWTX,119.78021978021978,6,69,96.27766599597588,,396.85,96.27766599597588,96.27766599597588,,1.0918432883750762
KTOS,118.64879955332215,5,94,87.87593984962405,,,81.12189859762677,87.87593984962405,,13.036261491317664
CFSB,117.35015772870663,6,96,96.01910828025477,,251.16,96.01910828025477,96.01910828025477,,1.8867924528301872
ATROB,112.6514131897712,5,95,99.83766233766237,,,96.15384615384623,99.83766233766237,,9.588607594936711
KDDIY,110.70640176600439,5,74,91.66666666666664,,,90.02976190476197,90.02976190476197,,5.059021922428323
LBRDK,110.61158363710003,5,91,90.61012548680225,,,90.61012548680225,90.61012548680225,,4.935814508906352
NFLX,107.12728263832109,5,93,94.52336448598132,,,94.52336448598132,94.52336448598132,,3.000197381406673
JOYY,98.38593974175038,5,86,90.08363201911587,,,81.33561643835604,81.33561643835604,,12.953367875647666
NTDOY,95.39823008849555,6,91,93.64261168384884,,84.89,89.88095238095241,89.88095238095241,,9.790209790209781
MYTAY,94.82496194824962,5,93,93.29545454545452,,,93.29545454545452,93.29545454545452,,6.953125000000004
GILD,93.26566779442564,5,86,88.59616108392923,,,68.19214540733527,88.59616108392923,,3.623916020082153
PODD,91.90606608006524,6,92,93.83651944627553,1,,88.24008138351982,88.24008138351982,,4.074940029757374
HKXCY,90.92740740740743,6,89,94.68037550290566,,55.79,86.72680412371132,86.72680412371132,,4.6690752316638795
VSEC,90.17175572519082,6,90,87.39144419427471,,55.89,79.55776173285199,80.82127858142795,,5.323193916349809
LFCBY,89.52755905511812,5,88,100.0,,,94.40000000000006,94.40000000000006,,10.11286681715575
IPI,88.0453121234032,7,93,86.84210526315793,1,83.79,86.84210526315793,86.84210526315793,,9.510381953345298
ONIT,84.24107142857146,6,88,96.23529411764713,,112.41,91.25364431486882,91.25364431486882,,9.66439565985366
JBL,82.3873121869783,5,87,98.59783301465903,,,96.35890767230167,98.59783301465903,,5.055255114037147
CIHKY,82.25274725274727,5,87,92.07360226468506,,,91.32602193419743,91.32602193419743,,3.547286821705421
OSIS,81.59931877999689,5,88,97.06422018348621,,,89.3073864825277,90.00706214689262,,10.588686644784518
FOX,80.26876433956079,5,85,93.59999999999962,,,84.77508650519025,86.5136298421808,,4.100096246390765
