Symbol,Screeners,NumberOfSpikes,Volume-Acceleration(%),Price_Increase_Percentage,RSI_Against_Market_3m
CPIX,4,2,197.95,591.3461538461538,94.73596816503886
CYD,4,1,347.94,239.84375000000006,86.75965266300398
DAO,4,1,64.25,313.28671328671334,95.15499714512553
WGS,4,1,105.55,1397.4093264248704,94.22250957832846
COMP,3,1,,254.67128027681656,69.68099983021443
CURI,3,1,,566.6666666666666,83.93801746396989
DBVT,3,1,,1131.8181818181818,77.39900937735715
DMAC,3,1,,218.6915887850467,73.97289954952859
DOCS,3,1,,271.1236933797909,74.1800653927575
TMQ,3,1,,604.0,81.14407964133918
GRRR,3,,184.32,1830.6220095693784,92.24179003851913
INOD,3,,102.18,1200.3663003663005,69.73962700809719
JYD,3,,234.99,1092.857142857143,59.56275980531528
KC,3,,70.86,1001.980198019802,74.31786617949702
AZ,3,,61.76,872.9411764705883,93.74285347278608
ETON,3,,105.12,507.5907590759076,86.71069840397737
JVA,3,,99.58,486.9565217391305,69.1382871487848
HSAI,3,,119.34,473.29545454545456,70.09738644977021
BABX,3,,257.93,279.4936708860759,63.22077906128324
ALHC,3,,50.83,264.3497757847534,91.81129283656749
XNET,3,,395.01,231.0344827586207,68.02011007140376
SOC,3,,63.53,219.78239366963402,87.24198550499199
COMM,2,,,736.0465116279071,88.46642928164049
CMRX,2,,,637.3333333333334,87.40977043933039
LX,2,,,544.9664429530201,83.87294530885383
VRNA,2,,,518.0860403863038,92.91782544287346
API,2,,,323.6363636363636,79.93068327564704
TBRG,2,,,319.4701986754967,91.58363740448924
ROOT,2,,,319.27144535840193,90.45598228449686
MYTE,2,,,299.3610223642173,95.57247763593972
RIGL,2,,,298.66310160427804,69.26374592419796
ADPT,2,,,292.5438596491228,91.30788163935935
VIOT,2,,,288.0,67.23768137520872
INSM,2,,,287.3631386861313,77.57775133966102
AXGN,2,,,278.3783783783784,65.9670954997526
TPL,2,,,264.6972545293036,68.9885616072447
SARK,2,,,258.6281588447653,87.58385534879224
XPEV,2,,,248.0916030534351,69.50747827188425
CRS,2,,,241.30990415335464,67.87237945764724
GDTC,2,,,237.5,70.45530417050664
PLX,2,,,236.58536585365852,63.91782082877776
EXFY,2,,,233.06451612903226,85.04380013391611
BROS,2,,,223.57541899441338,75.08491972238214
GH,2,,,221.88488298545224,69.17612345059727
ASM,2,,,212.0,94.14769596443391
