Symbol,Price_Increase_Percentage
MULN,2056668.56
NMHI,1580900.00
SCPX,1514185.71
CETX,732990.91
ADTX,544900.00
LUXH,498650.00
EFSH,428900.00
CRKN,345168.54
TRNR,244086.05
RENEW,202857.14
AEON,184413.43
CMAX,163100.00
ZPTA,154900.00
WHLR,147822.18
RGF,142700.00
VLCN,132887.01
PIK,106900.00
ALCE,97800.00
SMFL,90100.00
SING,77100.00
CERO,72900.00
XTIA,71328.57
CYN,68905.33
EGRX,68000.00
NDRA,54014.71
UPC,53900.00
CNSP,53248.21
ZCAR,49359.46
GWAV,48650.00
MLGO,45809.91
MTEM,41100.00
SVMH,38233.33
XPON,37890.65
ALLR,37752.94
ENVB,37731.86
CDT,35863.30
SYTA,33318.87
XXII,33148.57
GCTK,30837.50
GOEV,29956.25
SMX,29510.45
PBM,28506.19
TCBP,27292.67
WTO,26965.22
NKLA,26438.46
WINT,23537.82
DBGI,23443.69
BURU,22150.00
HOLO,20856.52
IVP,20280.71
LGMK,18870.59
MGOL,18200.00
VINC,17751.43
RIME,17728.05
SPI,17400.00
ADD,16718.18
BCAN,16567.63
TNXP,16027.32
MOND,15750.00
CLEU,15700.00
FFIE,15657.58
NIVF,15572.73
VMAR,15328.57
PGHL,15237.14
YYAI,15042.86
DFEN,15025.00
OMGA,14766.67
AMPGW,14700.00
EYEN,14277.62
ELAB,14210.34
CTNT,13791.76
JTAI,13595.65
UBXG,13530.77
SBFM,13454.50
APVO,13175.75
VIRX,13000.00
MNDR,12726.09
BJDX,12665.68
VINO,12500.00
BSFC,12328.57
LYT,12313.33
SOBR,12294.37
EVA,12200.00
MYNA,11680.00
HAO,11677.78
SISI,11434.31
TTOO,11233.33
HYZN,10614.29
XHG,10614.29
VCIG,10453.85
MAXN,10407.25
EDBL,10291.67
AHOY,10037.50
APDN,9900.00
VSSYW,9900.00
ACON,9412.35
ALPP,9200.00
BIOR,9033.33
SVRE,8780.00
LPA,8650.00
OCEA,8555.56
ONCO,8460.00
DRUG,8396.77
GHSI,8125.00
RYDE,7932.14
TWG,7841.18
BFI,7800.00
FTEL,7757.14
QUBT,7657.14
JBDI,7627.45
AILE,7626.67
LICY,7580.00
CHSN,7304.76
AAGR,7300.00
BSLK,7300.00
GTI,7268.42
DNMR,7260.00
MTC,7066.67
EJH,6957.69
DRCT,6935.29
STSS,6880.77
MMV,6733.33
ATCH,6663.01
JZXN,6660.00
KNW,6620.00
AKTS,6600.00
SLXN,6357.14
BPTH,6291.67
SWIN,6154.31
LICN,6000.00
NUKK,5924.62
BNAI,5884.85
IDAI,5873.33
ORIS,5858.51
HPH,5817.65
JL,5730.43
AEHL,5727.27
TANH,5700.00
TGL,5693.33
CTOR,5664.71
SYRS,5542.86
SOAR,5525.00
AIEV,5409.09
RHE,5130.77
AZTR,5117.39
CYTO,4885.71
ATGL,4884.35
ENTO,4821.05
MKDW,4748.48
MRNS,4672.73
SGD,4619.30
DGLY,4600.00
NVOS,4600.00
ICCT,4489.74
UAVS,4480.42
MYNZ,4455.56
MTNB,4379.17
IZM,4324.58
PITA,4311.76
TECX,4262.14
SDST,4200.00
TBIO,4148.00
LYRA,4143.75
