Symbol,NumberOfSpikes
AADR,1
AAOI,1
ABLLL,2
ACSI,1
AENT,1
AFBI,1
AFRM,1
AGR,1
AI,2
AM,1
AMNA,1
ANGO,1
APEI,1
APLY,1
ARIS,1
AUPH,1
AVGO,1
AVXL,2
AWX,1
AXON,1
BBW,1
BCAL,1
BFH,1
BGM,1
BZQ,1
CCLD,1
CCLDO,1
CDZI,1
CLPT,1
CMPO,1
COCO,1
COE,2
COFS,1
COHN,2
CPBI,1
CRDO,1
DAKT,1
DALN,1
DOCU,1
EQIX,1
ESLT,1
ESUS,1
EVBN,1
EZPW,1
FHN,1
FINV,1
FKWL,1
FOSL,1
FRPT,1
FSEA,1
FTK,1
GAMB,1
GEO,1
GEVO,1
GGLL,1
GIGM,1
GLBE,1
GS,1
HBI,1
HCKT,1
HPE,1
ICCH,1
INOD,1
IPX,1
JG,1
JWEL,1
KNF,1
KRNT,1
KSTR,1
LASE,1
LIND,1
LLYVA,1
LOPE,1
LQDT,1
LX,1
LYTS,1
MC,1
MCS,1
MDGL,1
MDRR,1
MGLD,1
MNOV,1
MRT,1
MRVL,1
MTEK,1
MYTE,1
NEXN,1
NGVC,1
NSTS,1
NUTX,1
NXGL,1
OB,1
OMER,1
ONB,1
OOTO,1
OPY,1
OXBR,2
PAYO,1
PCYO,1
PDLB,1
PLBC,1
PLTR,1
PLX,1
POET,1
PRLB,1
PSNL,1
PULM,1
PVBC,1
PW,1
QTUM,1
QTWO,1
QUBT,1
RAND,1
RAYA,2
REAL,1
ROIC,1
RSVR,1
RUSHB,2
SAMG,2
SATX,1
SFIX,1
SKIL,1
SMFG,1
SNT,1
STT,1
TASK,1
TATT,1
TEVA,1
TGNA,1
TGTX,1
TIGR,1
TILE,1
TRMB,1
UAMY,1
UCYB,1
UTI,1
VBFC,1
VMEO,1
VNET,1
VRNA,1
WAVE,1
WILC,1
WWW,1
WYY,1
XCUR,1
XGN,1
XYF,1
