Symbol,Qrt-Revenue-Increase(%),Data Points
AENT,11.535060220497746,4
ARQT,52.31321218163743,4
BMA,18.79105661154366,4
BYRN,37.956028261063906,4
CRDO,13.480687828987591,4
DCTH,174.54758401261276,4
EDN,11.627807194693645,4
EOSE,193.73558344491516,4
ETON,10.167312027798186,4
GGAL,45.22202261442812,4
HIPO,13.898949459390945,4
HTCR,85.54611708993468,4
INOD,25.634475917601883,4
IONQ,20.685764715746604,4
LUNR,69.2588234505557,4
NEOV,16.754244229754416,4
NN,13.801853483227173,4
NTRA,13.236904261854466,4
PDYN,53.26001481062049,4
POET,inf,4
PULM,10.706220069446193,4
RKLB,14.119043394741155,4
SITM,15.406372086722321,4
SOUN,24.842260953085557,4
TARS,193.93883045763408,4
TLN,34.38256658595642,1
VRNA,inf,1
YPF,12.080264252587035,4
