Symbol,Price_Increase_Percentage
SPCB,643.1372549019608
RDDT,516.8942436412316
DAVE,509.7560975609756
NVDX,291.3654618473895
NVDL,287.5739644970414
AFRM,270.92134831460675
ULCC,267.741935483871
SSY,260.37735849056605
CORT,259.8848368522073
SKE,256.83890577507594
MIND,254.75409836065577
ALHC,254.7085201793722
ASM,254.5454545454546
ZIM,252.87517531556801
NVDU,248.32968236582693
OCC,246.53465346534654
REPL,245.52845528455288
SFM,242.6301684532925
NAK,239.1304347826087
DSP,238.86743886743886
PLX,236.58536585365852
RERE,236.36363636363632
AS,236.30069238377845
AMSC,234.68309859154934
HIPO,231.14119922630562
WWR,229.99999999999997
BROS,229.3404094010614
HEPS,223.99999999999997
QFIN,222.97486033519553
GH,221.88488298545224
ICAD,220.33898305084745
SOC,219.78239366963402
COMP,218.68512110726647
DXPE,218.4414039262344
TPB,218.34080717488789
EHTH,217.31843575418992
BTSG,216.17834394904457
MTTR,215.60693641618496
UPLD,215.08379888268152
UAL,213.34413830361962
DPST,212.17235188509872
WEBL,211.0017889087657
BB,210.4477611940299
SOFI,206.48918469217975
AIOT,205.61403508771932
DUOL,204.5639434677697
BABX,202.36286919831224
NTGR,201.0496183206107
TDS,201.02264426588752
HIMX,200.4319654427646
