Date,Percentage_Above_200MA
2024-06-25,61.43
2024-06-26,59.29
2024-06-27,61.79
2024-06-28,62.5
2024-07-01,60.0
2024-07-02,59.64
2024-07-03,60.71
2024-07-05,60.71
2024-07-08,60.71
2024-07-09,61.43
2024-07-10,61.21
2024-07-11,66.9
2024-07-12,66.9
2024-07-15,67.97
2024-07-16,71.89
2024-07-17,71.53
2024-07-18,68.68
2024-07-19,67.73
2024-07-22,69.5
2024-07-23,69.15
2024-07-24,66.31
2024-07-25,67.73
2024-07-26,68.79
2024-07-29,68.09
2024-07-30,66.67
2024-07-31,68.44
2024-08-01,65.6
2024-08-02,59.22
2024-08-05,52.48
2024-08-06,53.9
2024-08-07,51.94
2024-08-08,57.39
2024-08-09,58.1
2024-08-12,57.39
2024-08-13,59.51
2024-08-14,59.3
2024-08-15,62.46
2024-08-16,62.81
2024-08-19,64.91
2024-08-20,64.21
2024-08-21,64.56
2024-08-22,64.56
2024-08-23,65.96
2024-08-26,65.61
2024-08-27,65.38
2024-08-28,65.03
2024-08-29,65.38
2024-08-30,65.38
2024-09-03,62.94
2024-09-04,63.64
2024-09-05,63.29
2024-09-06,59.09
2024-09-09,60.28
2024-09-10,58.54
2024-09-11,60.07
2024-09-12,61.46
2024-09-13,63.32
2024-09-16,64.36
2024-09-17,63.67
2024-09-18,62.28
2024-09-19,66.55
2024-09-20,65.86
2024-09-23,64.83
2024-09-24,63.92
2024-09-25,63.36
2024-09-26,64.73
2024-09-27,65.41
2024-09-30,64.73
2024-10-01,62.33
2024-10-02,62.33
2024-10-03,61.3
2024-10-04,64.04
2024-10-07,61.99
2024-10-08,61.99
2024-10-09,60.96
2024-10-10,61.3
2024-10-11,63.36
2024-10-14,63.23
2024-10-15,62.54
2024-10-16,64.85
2024-10-17,63.82
2024-10-18,63.48
2024-10-21,62.8
2024-10-22,64.16
2024-10-23,64.16
2024-10-24,64.16
2024-10-25,62.46
2024-10-28,64.29
2024-10-29,64.29
2024-10-30,63.61
2024-10-31,61.56
2024-11-01,62.59
2024-11-04,62.59
2024-11-05,64.41
2024-11-06,68.14
2024-11-07,69.15
2024-11-08,66.1
2024-11-11,68.47
2024-11-12,67.8
2024-11-13,67.12
2024-11-14,64.41
2024-11-15,61.69
2024-11-18,63.73
2024-11-19,63.73
2024-11-20,61.82
2024-11-21,64.86
2024-11-22,66.22
2024-11-25,68.58
2024-11-26,66.89
2024-11-27,67.23
2024-11-29,68.92
2024-12-02,68.92
2024-12-03,68.24
2024-12-04,68.24
2024-12-05,68.24
2024-12-06,67.91
2024-12-09,68.24
2024-12-10,66.89
2024-12-11,66.89
2024-12-12,64.19
2024-12-13,63.85
2024-12-16,62.5
2024-12-17,59.46
2024-12-18,53.38
2024-12-19,53.04
2024-12-20,55.07
2024-12-23,54.39
2024-12-24,56.08
2024-12-26,56.08
2024-12-27,54.39
2024-12-30,54.05
2024-12-31,55.07
2025-01-02,55.25
2025-01-03,56.76
2025-01-06,56.76
2025-01-07,52.7
2025-01-08,53.72
2025-01-10,49.32
2025-01-13,49.32
2025-01-14,50.0
2025-01-15,53.87
2025-01-16,56.9
2025-01-17,57.91
2025-01-21,61.28
2025-01-22,59.6
2025-01-23,60.4
2025-01-24,60.4
2025-01-27,61.07
2025-01-28,61.74
2025-01-29,59.4
2025-01-30,61.74
2025-01-31,61.07
2025-02-03,57.53
2025-02-04,60.87
2025-02-05,61.2
2025-02-06,61.74
2025-02-07,59.73
2025-02-10,59.4
2025-02-11,59.73
2025-02-12,58.05
2025-02-13,61.74
2025-02-14,62.08
2025-02-18,63.76
2025-02-19,62.88
2025-02-20,61.33
2025-02-21,57.14
2025-02-24,55.81
2025-02-25,55.48
2025-02-26,55.48
2025-02-27,53.16
2025-02-28,52.49
2025-03-03,48.84
2025-03-04,48.01
2025-03-05,50.5
2025-03-06,46.86
2025-03-07,48.18
2025-03-10,37.5
