Symbol,Date,Total Assets,Total Liabilities,Total Equity,Total Revenue,Gross Profit,Operating Income,Net Income,Net profit margin,EPS
AACG,2023-12-31,448939143.0,335965436.0,112973707.0,221618968.0,114657209.0,-41495904.0,-33660245.0,-0.1518834118927943,-1.08
A,2024-10-31,11846000000.0,5948000000.0,5898000000.0,6510000000.0,3535000000.0,1488000000.0,1289000000.0,0.19800307219662058,
A,2023-10-31,10763000000.0,4918000000.0,5845000000.0,6833000000.0,3465000000.0,1350000000.0,1240000000.0,0.18147226693985072,4.19
AA,2023-12-31,14155000000.0,8310000000.0,5845000000.0,10551000000.0,738000000.0,-227000000.0,-651000000.0,-0.06170031276656241,-3.65
AACT,2023-12-31,525453425.0,22779133.0,502674292.0,0.0,,-1122892.0,16915460.0,,0.36
AADI,2023-12-31,132423000.0,27228000.0,105195000.0,24354000.0,21545000.0,-71933000.0,-65765000.0,-2.700377761353371,-2.44
AAL,2023-12-31,63058000000.0,68260000000.0,-5202000000.0,52788000000.0,11810000000.0,4005000000.0,822000000.0,0.015571720845646737,1.21
AAOI,2023-12-31,389186000.0,174317000.0,214869000.0,217646000.0,58921000.0,-40412000.0,-56048000.0,-0.2575190906334139,-1.75
AAP,2023-12-31,12276326000.0,9756598000.0,2519728000.0,11287607000.0,4523502000.0,114377000.0,29735000.0,0.0026343050391460297,0.5
AAPL,2024-09-30,364980000000.0,308030000000.0,56950000000.0,391035000000.0,180683000000.0,123216000000.0,93736000000.0,0.23971255769943867,
AAPL,2023-09-30,352583000000.0,290437000000.0,62146000000.0,383285000000.0,169148000000.0,114301000000.0,96995000000.0,0.2530623426432028,6.13
AAON,2023-12-31,941436000.0,206212000.0,735224000.0,1168518000.0,399020000.0,227481000.0,177623000.0,0.15200707220599083,2.13
AAT,2023-12-31,2984681000.0,1831006000.0,1153675000.0,441164000.0,277207000.0,121747000.0,64690000.0,0.14663481154400632,0.84
AB,2023-12-31,2077540000.0,1295000.0,2076245000.0,299781000.0,,,264184000.0,0.8812566506883358,2.338981
ABBV,2023-12-31,134711000000.0,124314000000.0,10397000000.0,54318000000.0,33903000000.0,12757000000.0,4863000000.0,0.0895283331492323,2.72
ABCB,2023-12-31,25203699000.0,21776952000.0,3426747000.0,1042509000.0,,,269105000.0,0.2581320640876961,3.89
ABAT,2024-06-30,77675132.0,16207492.0,61467640.0,343500.0,-2961207.0,-37515636.0,-52501824.0,-152.84373799126638,-1.02
ABAT,2023-06-30,,,,0.0,0.0,-22428207.0,-22191140.0,,-0.51
ABCL,2023-12-31,1488094000.0,335776000.0,1152318000.0,38025000.0,38025000.0,-223052000.0,-146398000.0,-3.8500460223537147,-0.51
ABEO,2023-12-31,64002000.0,49176000.0,14826000.0,3500000.0,1895000.0,-48200000.0,-54188000.0,-15.482285714285714,-2.53
ABEV,2023-12-31,132644300000.0,52500500000.0,80143800000.0,79736900000.0,40445300000.0,18772700000.0,14501900000.0,0.1818718811491292,0.9156
ABLLL,2023-12-31,331826067.0,167755991.0,164070076.0,66401451.0,59911074.0,25112828.0,9516626.0,0.143319548845401,
ABG,2023-12-31,10159400000.0,6915300000.0,3244100000.0,14802700000.0,2755800000.0,1070700000.0,602500000.0,0.04070203408837577,28.74
ABL,2023-12-31,331826067.0,167755991.0,164070076.0,66401451.0,59911074.0,25112828.0,9516626.0,0.143319548845401,0.16
ABM,2024-10-31,5097200000.0,3315400000.0,1781800000.0,8359400000.0,,212100000.0,81400000.0,0.009737540971840083,
ABM,2023-10-31,4933700000.0,3133800000.0,1799900000.0,8096400000.0,,409500000.0,251300000.0,0.03103848624079838,3.79
ABNB,2023-12-31,20645000000.0,12480000000.0,8165000000.0,9917000000.0,8214000000.0,1518000000.0,4792000000.0,0.483210648381567,7.24
ABOS,2023-12-31,310125000.0,43152000.0,266973000.0,0.0,,-61138000.0,-52371000.0,,-1.08
ABR,2023-12-31,15738636000.0,12484031000.0,3254605000.0,721012000.0,,,371434000.0,0.5151564745108265,1.75
ABSI,2023-12-31,217298000.0,41122000.0,176176000.0,5718000.0,,-94180000.0,-110566000.0,-19.336481287163345,-1.2
ABT,2023-12-31,73214000000.0,34387000000.0,38827000000.0,40109000000.0,22134000000.0,6478000000.0,5723000000.0,0.14268618015906653,3.26
ABUS,2023-12-31,144401000.0,38383000.0,106018000.0,18141000.0,,-78034000.0,-72849000.0,-4.015710269555151,-0.44
ABVC,2023-12-31,14492599.0,6361627.0,8130972.0,152430.0,-149607.0,-8216509.0,-10515656.0,-68.98678737781276,-2.43
ABVE,2024-01-31,143887955.0,190146187.0,-46258232.0,368423398.0,-5898748.0,-39499033.0,-53312282.0,-0.14470384424389898,
AC,2023-12-31,943797000.0,30719000.0,913078000.0,12683000.0,-4563000.0,-16947000.0,37451000.0,2.9528502720176615,1.72
ACA,2023-12-31,3577900000.0,1245900000.0,2332000000.0,2307900000.0,443800000.0,182700000.0,159200000.0,0.06898045842540838,3.26
ACABU,2023-12-31,37365979.0,45888456.0,-8522477.0,0.0,,-1666056.0,2821459.0,,
ACAB,2023-12-31,37365979.0,45888456.0,-8522477.0,0.0,,-1666056.0,2821459.0,,0.15
ACAD,2023-12-31,748956000.0,317201000.0,431755000.0,726437000.0,684799000.0,-73379000.0,-61286000.0,-0.0843651961560328,-0.37
ACCD,2024-02-29,788151000.0,342686000.0,445465000.0,414292000.0,192060000.0,-114453000.0,-99805000.0,-0.24090496557983257,-1.33
ACB,2024-03-31,838673000.0,236803000.0,601870000.0,270281000.0,131460000.0,-27079000.0,-69326000.0,-0.2564960171081208,-1.52
ACCO,2023-12-31,2644800000.0,1857800000.0,787000000.0,1832800000.0,598300000.0,159600000.0,-21800000.0,-0.011894369271060672,-0.23
ACDC,2023-12-31,3070700000.0,1800800000.0,1269900000.0,2630000000.0,486400000.0,217800000.0,-97700000.0,-0.03714828897338403,-0.82
ACEL,2023-12-31,912893000.0,714489000.0,198404000.0,1170420000.0,353225000.0,107407000.0,45603000.0,0.038962936381811655,0.53
ACET,2023-12-31,207295000.0,37120000.0,170175000.0,0.0,,-132576000.0,-142658000.0,,-3.31
ACGL,2023-12-31,58906000000.0,40551000000.0,18355000000.0,13294000000.0,,,4443000000.0,0.3342109222205506,11.62
ACGLO,2023-12-31,58906000000.0,40551000000.0,18355000000.0,13294000000.0,,,4443000000.0,0.3342109222205506,
ACGLN,2023-12-31,58906000000.0,40551000000.0,18355000000.0,13294000000.0,,,4443000000.0,0.3342109222205506,
ACHC,2023-12-31,5358841000.0,2471181000.0,2887660000.0,2928738000.0,2822746000.0,513015000.0,-21667000.0,-0.007398067017261359,-0.24
ACHR,2023-12-31,554300000.0,187200000.0,367100000.0,0.0,,-444800000.0,-457900000.0,,-1.69
ACHV,2023-12-31,19371000.0,20819000.0,-1448000.0,0.0,,-27250000.0,-29815000.0,,-1.5
ACHL,2023-12-31,161456000.0,19087000.0,142369000.0,0.0,,-75255000.0,-69665000.0,,-1.74
