Symbol,Date,Total Assets,Total Liabilities,Total Equity,Total Revenue,Gross Profit,Operating Income,Net Income,Net profit margin,EPS
AACG,2024-09-30,459449162.0,393227466.0,66221696.0,67254807.0,29998346.0,-17614600.0,-14652246.0,-0.21786169128401484,-0.46
AACG,2024-06-30,464656696.0,384454095.0,80202601.0,51763927.0,25692098.0,-20758263.0,-16753488.0,-0.3236517971289157,-0.54
AACG,2024-03-31,468545021.0,372416992.0,96128029.0,48125819.0,21910467.0,-21665553.0,-17948776.0,-0.3729552322008276,-0.58
AACG,2023-12-31,448939143.0,335965436.0,112973707.0,83608695.0,52365846.0,9111150.0,8555602.0,0.10232909388192221,0.28
AACG,2023-09-30,466256544.0,362740255.0,103516289.0,59450108.0,29224857.0,-7879014.0,-7250862.0,-0.12196549752272948,-0.24
A,2024-10-31,11846000000.0,5948000000.0,5898000000.0,1701000000.0,916000000.0,408000000.0,351000000.0,0.20634920634920634,
A,2024-07-31,10996000000.0,5093000000.0,5903000000.0,1578000000.0,855000000.0,333000000.0,282000000.0,0.17870722433460076,0.97
A,2024-04-30,10856000000.0,4642000000.0,6214000000.0,1573000000.0,856000000.0,363000000.0,308000000.0,0.1958041958041958,1.05
A,2024-01-31,10948000000.0,4760000000.0,6188000000.0,1658000000.0,908000000.0,384000000.0,348000000.0,0.20989143546441497,1.18
A,2023-10-31,10763000000.0,4918000000.0,5845000000.0,1688000000.0,915000000.0,408000000.0,475000000.0,0.28139810426540285,1.62
A,2023-07-31,,,,,,,,,0.38
AA,2024-09-30,14542000000.0,9292000000.0,5250000000.0,2904000000.0,511000000.0,270000000.0,90000000.0,0.030991735537190084,0.38
AA,2024-06-30,14307000000.0,8891000000.0,5416000000.0,2906000000.0,373000000.0,128000000.0,20000000.0,0.006882312456985547,0.11
AA,2024-03-31,14328000000.0,8794000000.0,5534000000.0,2599000000.0,195000000.0,-37000000.0,-252000000.0,-0.09696036937283571,-1.41
AA,2023-12-31,14155000000.0,8310000000.0,5845000000.0,2595000000.0,170000000.0,-139000000.0,-150000000.0,-0.057803468208092484,-0.84
AA,2023-09-30,13917000000.0,7825000000.0,6092000000.0,2602000000.0,133000000.0,-95000000.0,-168000000.0,-0.06456571867794005,-0.94
AACT,2024-09-30,545691354.0,23073503.0,522617851.0,0.0,,-443007.0,6964802.0,,0.11
AACT,2024-06-30,538614294.0,22961245.0,515653049.0,0.0,,-373422.0,6585367.0,,0.11
AACT,2024-03-31,531999294.0,22931612.0,509067682.0,0.0,,-455512.0,6393390.0,,0.102294
AACT,2023-12-31,525453425.0,22779133.0,502674292.0,0.0,,-431376.0,6949682.0,,
AACT,2023-09-30,518547121.0,22822511.0,495724610.0,0.0,,-383929.0,6400142.0,,0.1
AACT,2023-06-30,,,,,,,,,0.07
AAGR,2024-03-31,17407704.0,41765026.0,-24357322.0,344913.0,27985.0,-12616143.0,-12663598.0,-36.715339810328985,-0.22
AAGR,2023-06-30,10479928.0,17278099.0,-6798171.0,553067.0,161159.0,-9261240.0,-9481372.0,-17.1432611238783,
AADI,2024-09-30,85698000.0,16830000.0,68868000.0,7212000.0,6408000.0,-10775000.0,-12546000.0,-1.7396006655574043,-0.46
AADI,2024-06-30,101620000.0,22829000.0,78791000.0,6179000.0,5401000.0,-15584000.0,-14583000.0,-2.3600906295517072,-0.54
AADI,2024-03-31,111073000.0,20613000.0,90460000.0,5353000.0,4701000.0,-19512000.0,-18289000.0,-3.41658882869419,-0.68
AADI,2023-12-31,132423000.0,27228000.0,105195000.0,6326000.0,5399000.0,-17714000.0,-16269000.0,-2.571767309516282,
AADI,2023-09-30,139659000.0,21463000.0,118196000.0,5959000.0,5262000.0,-17849000.0,-16302000.0,-2.735693908373888,-0.6
AADI,2023-06-30,,,,,,,,,-0.67
AAL,2024-09-30,63528000000.0,68382000000.0,-4854000000.0,13647000000.0,2779000000.0,643000000.0,-149000000.0,-0.010918150509269437,-0.23
AAL,2024-06-30,64125000000.0,68871000000.0,-4746000000.0,14334000000.0,3480000000.0,1384000000.0,717000000.0,0.05002092925910423,1.01
AAL,2024-03-31,64384000000.0,69884000000.0,-5500000000.0,12570000000.0,2021000000.0,77000000.0,-312000000.0,-0.024821002386634844,-0.48
AAL,2023-12-31,63058000000.0,68260000000.0,-5202000000.0,13062000000.0,2626000000.0,665000000.0,19000000.0,0.0014546011330577248,0.03
AAL,2023-09-30,65711000000.0,70847000000.0,-5136000000.0,13482000000.0,2687000000.0,726000000.0,-545000000.0,-0.04042426939623201,-0.83
AAOI,2024-09-30,409972000.0,197886000.0,212086000.0,65151000.0,15917000.0,-16504000.0,-17757000.0,-0.2725514573836165,-0.42
AAOI,2024-06-30,348040000.0,161546000.0,186494000.0,43270000.0,9562000.0,-25965000.0,-26115000.0,-0.6035359371388953,-0.66
AAOI,2024-03-31,350916000.0,155190000.0,195726000.0,40673000.0,7591000.0,-21598000.0,-23170000.0,-0.5696653799818061,-0.6
AAOI,2023-12-31,389186000.0,174317000.0,214869000.0,60453000.0,21604000.0,-4505000.0,-13858000.0,-0.22923593535473838,-0.38
AAOI,2023-09-30,373792000.0,195439000.0,178353000.0,62547000.0,20174000.0,-6609000.0,-8953000.0,-0.14314035845044526,-0.27
AAME,2024-09-30,386989000.0,281230000.0,105759000.0,44519000.0,,,-1998000.0,-0.04487971427929648,-0.1
AAME,2024-06-30,386007000.0,285335000.0,100672000.0,47668000.0,,,-684000.0,-0.014349248972056725,-0.04
AAME,2024-03-31,365751000.0,262948000.0,102803000.0,46997000.0,,,-1998000.0,-0.04251335191607975,-0.1
AAME,2023-09-30,361620000.0,262874000.0,98746000.0,44591000.0,,,1759000.0,0.03944742212554103,0.08
AAME,2023-06-30,372955000.0,269469000.0,103486000.0,49188000.0,,,1744000.0,0.035455802228185736,0.08
AAP,2024-09-30,12468184000.0,9870504000.0,2597680000.0,2147991000.0,907898000.0,403000.0,-6014000.0,-0.0027998255113731853,-0.1
AAP,2024-06-30,12289806000.0,9683054000.0,2606752000.0,2683053000.0,1114308000.0,71751000.0,44991000.0,0.01676858414649282,0.75
AAP,2023-12-31,12276326000.0,9756598000.0,2519728000.0,2464869000.0,920964000.0,-80716000.0,-60510000.0,-0.024548971973764124,-0.59
AAP,2023-09-30,12248932000.0,9602064000.0,2646868000.0,2218205000.0,817567000.0,-78578000.0,-62037000.0,-0.027967207719755388,-1.05
AAP,2023-06-30,,,,,,,,,
AAPL,2024-09-30,364980000000.0,308030000000.0,56950000000.0,94930000000.0,43879000000.0,29591000000.0,14736000000.0,0.15523016959865163,0.97
AAPL,2024-06-30,331612000000.0,264904000000.0,66708000000.0,85777000000.0,39678000000.0,25352000000.0,21448000000.0,0.25004371801298714,1.4
AAPL,2024-03-31,337411000000.0,263217000000.0,74194000000.0,90753000000.0,42271000000.0,27900000000.0,23636000000.0,0.26044318094167684,1.53
AAPL,2023-12-31,353514000000.0,279414000000.0,74100000000.0,119575000000.0,54855000000.0,40373000000.0,33916000000.0,0.2836378841731131,2.18
AAPL,2023-09-30,352583000000.0,290437000000.0,62146000000.0,89498000000.0,40427000000.0,26969000000.0,22956000000.0,0.25649735189613176,1.46
AAPL,2023-06-30,,,,,,,,,
AAON,2024-09-30,1030625000.0,233769000.0,796856000.0,327252000.0,114158000.0,65521000.0,52625000.0,0.1608087956681701,0.63
AAON,2024-06-30,1010716000.0,270218000.0,740498000.0,313566000.0,113094000.0,67199000.0,52228000.0,0.16656142566477233,0.62
AAON,2024-03-31,952921000.0,168113000.0,784808000.0,262099000.0,92242000.0,46954000.0,39016000.0,0.1488597819907745,0.46
AAON,2023-12-31,941436000.0,206212000.0,735224000.0,306638000.0,111739000.0,63884000.0,47049000.0,0.15343499501040314,
AAON,2023-09-30,944543000.0,262059000.0,682484000.0,311970000.0,116109000.0,64639000.0,48078000.0,0.15411097220886624,0.58
AAON,2023-06-30,,,,,,,,,0.55
AAT,2024-09-30,3396318000.0,2258357000.0,1137961000.0,122810000.0,80405000.0,37808000.0,21318000.0,0.1735852129305431,0.28
AAT,2024-06-30,2992932000.0,1847276000.0,1145656000.0,110890000.0,70542000.0,30794000.0,15294000.0,0.13792046171882044,0.2
AAT,2024-03-31,2988199000.0,1832811000.0,1155388000.0,110695000.0,69608000.0,30549000.0,24623000.0,0.22244003794209313,0.32
AAT,2023-12-31,2984681000.0,1831006000.0,1153675000.0,112491000.0,68779000.0,29399000.0,13492000.0,0.1199384839676063,0.17
AAT,2023-09-30,3010719000.0,1842069000.0,1168650000.0,111198000.0,69887000.0,31139000.0,15135000.0,0.13610856310365294,0.2
AAT,2023-06-30,,,,,,,,,
AB,2024-09-30,2098850000.0,719000.0,2098131000.0,136374000.0,,,127195000.0,0.9326924487072316,1.12
AB,2024-06-30,2085610000.0,556000.0,2085054000.0,122705000.0,,,113523000.0,0.9251701234668513,0.99
AB,2024-03-31,2068761000.0,389000.0,2068372000.0,86281000.0,,,77222000.0,0.895005852968788,0.67
AB,2023-12-31,2077540000.0,1295000.0,2076245000.0,88517000.0,,,79198000.0,0.8947207880972017,0.709745
AB,2023-09-30,1973046000.0,552000.0,1972494000.0,65761000.0,,,56991000.0,0.8666382810480376,0.5
ABBV,2024-09-30,143422000000.0,137351000000.0,6071000000.0,14460000000.0,10248000000.0,3913000000.0,1561000000.0,0.10795297372060858,0.88
ABBV,2024-06-30,141937000000.0,135116000000.0,6821000000.0,14462000000.0,10260000000.0,4935000000.0,1370000000.0,0.09473101922279076,0.77
ABBV,2024-03-31,148874000000.0,140827000000.0,8047000000.0,12310000000.0,8216000000.0,2962000000.0,1369000000.0,0.11121039805036556,0.77
ABBV,2023-12-31,134711000000.0,124314000000.0,10397000000.0,14301000000.0,8597000000.0,3195000000.0,822000000.0,0.05747849800713237,0.46
ABBV,2023-09-30,136221000000.0,124092000000.0,12129000000.0,13927000000.0,7442000000.0,2347000000.0,1778000000.0,0.12766568535937386,1.0
ABCB,2024-09-30,26399782000.0,22718414000.0,3681368000.0,275253000.0,,,99212000.0,0.36043930493037313,1.44
ABCB,2024-06-30,26520728000.0,22954114000.0,3566614000.0,290000000.0,,,90785000.0,0.31305172413793103,1.32
ABCB,2024-03-31,25655445000.0,22170707000.0,3484738000.0,257341000.0,,,74312000.0,0.2887685988629872,1.08
ABCB,2023-12-31,25203699000.0,21776952000.0,3426747000.0,253301000.0,,,65934000.0,0.26029901184756477,0.96
ABCB,2023-09-30,25697830000.0,22350761000.0,3347069000.0,263002000.0,,,80115000.0,0.30461745538056745,1.16
ABCB,2023-06-30,,,,,,,,,
ABAT,2024-09-30,73832728.0,14488132.0,59344596.0,201960.0,-2340681.0,-9803164.0,-11694569.0,-57.90537235096058,-0.17
ABAT,2024-06-30,77675132.0,16207492.0,61467640.0,343500.0,,-12081856.0,-23436851.0,-68.22955167394468,
ABAT,2024-03-31,89257258.0,19188695.0,70068563.0,0.0,,-8606704.0,-9995137.0,,-0.19
ABAT,2023-12-31,88868866.0,22295581.0,66573285.0,0.0,,-8230848.0,-9291435.0,,-0.19
ABAT,2023-09-30,83945262.0,24749731.0,59195531.0,0.0,0.0,-8017770.0,-8891977.0,,-0.19
ABAT,2023-06-30,,,,,,,,,
ABCL,2024-09-30,1392828000.0,314734000.0,1078094000.0,6507000.0,,-90172000.0,-51107000.0,-7.8541570616259415,-0.17
ABCL,2024-06-30,1412481000.0,301513000.0,1110968000.0,7323000.0,,-90144000.0,-36930000.0,-5.043015157722245,-0.13
ABCL,2024-03-31,1463096000.0,333183000.0,1129913000.0,9954000.0,,-51619000.0,-40610000.0,-4.079766927868194,-0.14
ABCL,2023-12-31,1488094000.0,335776000.0,1152318000.0,9179000.0,9179000.0,-62677000.0,-47150000.0,-5.136725133456803,
ABCL,2023-09-30,1512190000.0,329415000.0,1182775000.0,6599000.0,6599000.0,-52062000.0,-28610000.0,-4.33550537960297,-0.1
ABCL,2023-06-30,,,,,10056000.0,,,,-0.11
ABEO,2024-09-30,120592000.0,74819000.0,45773000.0,0.0,0.0,-15345000.0,-30269000.0,,-0.63
ABEO,2024-06-30,134003000.0,60762000.0,73241000.0,0.0,0.0,-17864000.0,7406000.0,,-0.26
ABEO,2024-03-31,74828000.0,83709000.0,-8881000.0,0.0,,-14330000.0,-31578000.0,,-1.16
ABEO,2023-12-31,64002000.0,49176000.0,14826000.0,0.0,0.0,-13209000.0,-16591000.0,,
ABEO,2023-09-30,66087000.0,44049000.0,22038000.0,0.0,-30000.0,-11334000.0,-11836000.0,,-0.48
ABEO,2023-06-30,,,,,1925000.0,,,,-0.92
ABEV,2024-09-30,147286400000.0,48402300000.0,98884100000.0,22096700000.0,11124100000.0,5300100000.0,3460300000.0,0.15659804405182676,0.22
ABEV,2024-06-30,143438846000.0,47403494000.0,96035352000.0,20044215000.0,9984235000.0,3956252000.0,2396309000.0,0.11955115229007472,0.1516
ABEV,2024-03-31,133816801000.0,46440085000.0,87376716000.0,20276297000.0,10217303000.0,4826455000.0,3700276000.0,0.18249269084981345,0.2336
ABEV,2023-12-31,132644300000.0,52500500000.0,80143800000.0,19989278000.0,10687989000.0,5799051000.0,4387611000.0,0.2194982229973489,0.28
ABEV,2023-09-30,137914205000.0,46353027000.0,91561178000.0,20317800000.0,10094700000.0,4900800000.0,3911700000.0,0.19252576558485662,0.25
ABEV,2023-06-30,,,,,,,,,
ABLLL,2024-09-30,477309168.0,219369540.0,257939628.0,28148491.0,25960510.0,6556531.0,-5125055.0,-0.1820721046822723,
ABLLL,2024-06-30,483854905.0,227005417.0,256849488.0,29076102.0,26332568.0,7475971.0,769983.0,0.02648164461659957,
ABLLL,2024-03-31,376719400.0,211378628.0,165340772.0,21487184.0,18766287.0,3800790.0,-1348745.0,-0.06276974218678445,
ABLLL,2023-12-31,331826067.0,167755991.0,164070076.0,23695547.0,22033077.0,3162206.0,-6222383.0,-0.2625971453623755,
ABLLL,2023-09-30,304301937.0,138212190.0,166089747.0,21120930.0,17755973.0,4518015.0,903361.0,0.04277089124389882,
ABG,2024-09-30,10173600000.0,6811200000.0,3362400000.0,4236700000.0,718000000.0,232500000.0,126300000.0,0.029810937758160832,6.37
ABG,2024-06-30,10306000000.0,6975200000.0,3330800000.0,4246200000.0,730700000.0,236000000.0,28100000.0,0.006617681691865668,1.39
ABG,2024-03-31,10131500000.0,6784600000.0,3346900000.0,4201300000.0,750000000.0,262800000.0,147100000.0,0.03501297217527908,7.21
ABG,2023-12-31,10159400000.0,6915300000.0,3244100000.0,3811700000.0,673000000.0,241800000.0,55500000.0,0.014560432353018338,2.7
ABG,2023-09-30,8255000000.0,5006400000.0,3248600000.0,3666200000.0,673500000.0,264800000.0,169200000.0,0.046151328350881024,8.19
ABG,2023-06-30,,,,,,,,,
ABL,2024-09-30,477309168.0,219369540.0,257939628.0,28148491.0,25960510.0,6556531.0,-5125055.0,-0.1820721046822723,-0.07
ABL,2024-06-30,483854905.0,227005417.0,256849488.0,29076102.0,26332568.0,7475971.0,769983.0,0.02648164461659957,0.01
ABL,2024-03-31,376719400.0,211378628.0,165340772.0,21487184.0,18766287.0,3800790.0,-1348745.0,-0.06276974218678445,-0.02
