Symbol,Price Increase,Screeners,RSI,NumberOfSpikes,Qrt-EPS-Increase-(%),EPS-Increase(%)
QUBT,7657.142857142857,1,,1,,
KULR,5390.000000000001,2,76.91980277753163,,27.916666666666668,
WGS,3507.692307692307,1,,,23.525282600043997,
PDYN,3222.222222222222,1,83.09252224169131,,,
RGTI,2831.818181818182,1,79.73548078013411,,,
RCAT,2562.4999999999995,1,,,,23.076923076923077
XCUR,2400.0000000000005,1,,1,,
LASE,1920.408163265306,1,,1,,
WAVE,1645.5445544554455,1,,1,,
SOUN,1441.975308641975,1,70.13117647387966,,,
UAMY,1282.3529411764707,1,,1,,
MESO,1266.4596273291925,1,75.98492822706692,,,
AENT,1244.4444444444443,4,84.95252776250042,1,110.84656084656085,112.16216216216215
SGMO,960.0000000000001,1,,,55.09972607430235,
ARQQW,948.6486486486486,1,100.0,,,
INOD,910.4395604395604,2,,1,26378.255627147762,
CANG,906.25,1,,,25.64327485380117,
NUTX,896.1538461538462,1,,1,,
LUNR,838.7559808612441,1,71.05740539079486,,,
POET,827.3809523809524,1,,1,,
KINS,817.7664974619288,1,,,95.81115206115207,
RGS,817.3126614987079,1,,,,1305.6603773584905
EOSE,788.5245901639344,1,80.25955837641405,,,
SATX,696.6666666666667,2,84.39417151531603,1,,
REAL,648.6842105263158,2,80.00535843620239,1,,
FOA,630.9756097560976,1,,,679.6366499936685,
GEVO,606.2500000000001,2,70.10200789307044,1,,
PW,587.5,1,,1,,
RDW,582.089552238806,1,75.7024607250495,,,
AAOI,564.1791044776119,1,,1,,
