Symbol,Price Increase,Screeners,EPS-Increase(%),Qrt-EPS-Increase-(%)
WGS,7581.896551724138,1,,23.525282600043997
LSF,1357.7464788732395,1,,42.21206425153794
WULF,820.7920792079209,1,,26.041666666666664
INOD,810.6227106227105,1,,26378.255627147762
CVNA,769.2694369973191,1,,244.736691448648
RCAT,711.5384615384615,1,23.076923076923077,
AENT,667.6923076923076,1,,91.50132275132273
RCRT,658.9285714285713,1,,36.5011715830027
CMMB,507.1428571428571,1,,26.08465608465609
CDXC,474.24242424242425,1,,41.16916666666667
SUPV,463.4408602150538,1,,311.0511700379876
CAVA,447.91865268509696,1,,118.74999999999999
WLFC,444.07681628875525,1,,32.294182019272974
HYLN,439.99999999999994,1,,23.373000515995873
GGAL,428.0442804428045,1,,62.76301792213775
JVA,410.5263157894737,1,,833.8388355985363
POWL,388.79067898754516,1,,27.678617058285987
BNTC,379.18215613382904,1,,21.113306982872196
IESC,360.5736434108527,1,,47.1225229466207
CANG,356.5217391304348,1,,25.64327485380117
VST,343.5889843055966,1,,216.04345171671628
BMA,342.57006874669486,1,,420.40751737414166
HOOD,333.8811630847029,1,,157.7380952380952
DDL,329.90654205607467,1,,4172.004641717435
ESOA,324.8554913294797,1,,426.00108225108227
AGX,317.1706817016914,1,,150.22881511371972
HIMS,311.3513513513513,1,,161.25
BLND,310.1694915254237,1,,29.166666666666664
PLTR,304.7892720306514,1,,20.833333333333332
BBAR,297.1084337349397,1,,120.12777656773633
BYRN,296.53767820773925,1,,3030.506501603471
DOYU,294.3894389438944,1,,214.3535716734061
HIPO,283.741935483871,1,,38.37216128515318
SATX,270.0,1,,65.0
FLXS,268.93617021276594,1,,104.47015777441558
EAT,255.6514236410698,2,49.12280701754387,98.4041932375787
ACRS,253.2467532467533,1,,27.00275842044135
LEU,253.20799761265295,1,,239.8356046253723
RSI,250.0,1,,276.2042947691487
RYAM,240.3973509933775,1,,129.65285132056096
LFVN,239.68609865470856,1,,25.256410256410252
NVDA,232.82222222222225,1,,81.62604159681132
EDN,230.4307116104869,1,,134.4977369439211
FSI,226.47058823529412,1,,32.73809523809525
YPF,223.038728897716,1,,174.9747934656172
NTRA,222.61103633916557,1,,27.670317514933927
USAP,221.2765957446808,1,,56.72372954349699
VRT,218.19291819291823,1,,611.6666666666666
DSP,216.6044776119403,1,,30.182846638655466
LX,215.43624161073828,1,,331.20320855614966
