Symbol,Screeners,EPS-Breakout(%),MonthsRSITrendingUp,NumberOfSpikes,RSI,Annual-Net-margin-Increase(%),EPS-Increase(%),Price_Increase_Percentage,Qrt-margin-Increase(%),Qrt-EPS-Increase-(%),Volume-Acceleration(%),Qrt-Revenue-Increase(%)
CRS,6,170.81081081081078,,,,205.58295729030127,224.561403508772,238.52459016393445,272.5102621355504,303.79893390922797,,
AGX,6,162.00873362445418,,,,,,285.1153039832285,45.911656670801584,41.52175404501745,54.62,13.3734580149289
AS,6,,1,,75.60255480186622,,,209.7922848664689,252.62608377708014,293.5195555858742,62.16,
EAT,5,,,,,41.70003942256851,49.12280701754387,282.4697986577181,110.61655964920622,98.4041932375787,,
VNET,5,,1,1,73.66911611103558,,,331.6546762589928,,,66.99,
OPFI,4,61.53846153846153,,1,,,,288.00000000000006,,,105.53,
YPF,4,382.83261802575106,,,,,,225.87749483826568,,174.9747934656172,,12.080264252587035
KLTR,4,,,1,,,,271.0526315789473,,20.634920634920633,161.95,
CDE,4,,,,,,,219.00826446280993,598.8374266851627,844.059785357076,,15.34573102724093
DSP,4,,,,,,,234.46153846153845,547.7272718830627,777.4654217883376,82.05,
NGVC,3,,,1,,34.12211614361651,,237.24235963041934,,,,
FOSL,3,,,1,,,,248.0,,,99.58,
JWEL,3,,,1,,,,271.0,,,252.85,
MYTE,3,,1,1,,,,241.90871369294604,,,,
ECOR,3,,,,,,,250.93984962406014,,25.690586369428846,234.87,
EXFY,3,,,,,,,233.06451612903226,38.1441328764962,42.757936507936506,,
SE,3,,,,,,,247.80203784570597,153.3629456156714,268.6234817813765,,
TSLA,3,,,,,,,251.97406340057634,67.92557262916522,78.60707993612206,,
VRT,3,,,,,,,202.38787375415282,663.7840726618281,611.6666666666666,,
DCTH,3,,,,,,,259.4594594594595,74.55061495442077,,,174.54758401261276
PRTH,3,,,,,,,341.13475177304963,1303.911723094977,,261.46,
ALHC,3,,,,,,,219.5067264573991,,,64.25,11.747048412347768
QFIN,2,58.18181818181819,,,,,,209.3630084420568,,,,
NTGR,2,,,1,,,,201.0496183206107,,,,
WWW,2,,,1,,,,219.8174706649283,,,,
ATYR,2,,,,,,,203.59712230215828,,,,inf
SITM,2,,,,,,,270.46553391352404,,,,15.406372086722321
TLN,2,,,,,,,260.765625,,,,34.38256658595642
CLPT,2,,1,,,,,241.87866927592952,,,,
BMTX,2,,,,,,,241.3793103448276,,,51.38,
NAK,2,,,,,,,226.08695652173913,,,70.61,
BARK,2,,,,,,,224.0506329113924,,,66.42,
CLS,1,,,,,,,288.65514650638613,,,,
VIOT,1,,,,,,,288.0,,,,
SMTC,1,,,,,,,286.9493392070484,,,,
UNFI,1,,,,,,,275.29137529137535,,,,
PLSE,1,,,,,,,244.309559939302,,,,
BE,1,,,,,,,241.2604042806183,,,,
ADPT,1,,,,,,,227.19298245614036,,,,
HEPS,1,,,,,,,223.99999999999997,,,,
HNRG,1,,,,,,,223.32563510392612,,,,
FNGU,1,,,,,,,221.92545437771014,,,,
SFM,1,,,,,,,217.76235198040018,,,,
USD,1,,,,,,,216.02826329490517,,,,
TZOO,1,,,,,,,215.1685393258427,,,,
SKE,1,,,,,,,213.9817629179331,,,,
AXGN,1,,,,,,,210.45045045045043,,,,
LMB,1,,,,,,,203.63223609534614,,,,
