Symbol,Price_Increase_Percentage,Screeners,Annual-Net-margin-Increase(%),Qrt-margin-Increase(%),Qrt-EPS-Increase-(%),Qrt-Revenue-Increase(%),EPS-Increase(%)
GRRR,1830.6220095693784,0,,,,,
WGS,1397.4093264248704,4,80.27238874958054,56.6544154161537,23.525282600043997,13.777318835410167,
INOD,1200.3663003663005,5,1706.7929887046187,19333.15667678749,35037.67416953035,24.517838133758477,3066.666666666667
DBVT,1131.8181818181818,0,,,,,
JYD,1092.857142857143,0,,,,,
KC,1001.980198019802,0,,,,,
AZ,872.9411764705883,0,,,,,
COMM,736.0465116279071,4,77.27232847940039,47.49327693956519,,84.4555981577629,76.0752688172043
CMRX,637.3333333333334,1,,,,inf,
TMQ,604.0,1,,,27.777777777777775,,
CPIX,591.3461538461538,0,,,,,
CURI,566.6666666666666,1,,,21.88888888888889,,
IBIO,556.1904761904761,4,,50.9064026742093,32.555106072529355,inf,93.8788963179207
LX,544.9664429530201,2,,410.8522963494757,338.0659536541889,,
VRNA,518.0860403863038,2,,87.91932834014948,,inf,
ETON,507.5907590759076,1,,,,10.167312027798186,
JVA,486.9565217391305,4,330.3451788402989,767.5466905084832,1089.5628919091596,,360.00000000000006
HSAI,473.29545454545456,0,,,,,
API,323.6363636363636,0,,,,,
TBRG,319.4701986754967,0,,,,,
ROOT,319.27144535840193,4,108.10737872665801,109.15049656744823,101.62310025114904,14.220821871607386,
DAO,313.28671328671334,0,,,,,
MYTE,299.3610223642173,0,,,,,
RIGL,298.66310160427804,2,,,329.07735247208933,21.149965072674114,
ADPT,292.5438596491228,0,,,,,
AHG,291.6666666666667,0,,,,,
AREN,289.2857142857143,1,,,,12.297232684849979,
VIOT,288.0,0,,,,,
INSM,287.3631386861313,0,,,,,
BABX,279.4936708860759,0,,,,,
AXGN,278.3783783783784,3,61.05444416925202,31.695907178941113,36.666666666666664,,
DOCS,271.1236933797909,1,,,30.110930735930737,,
TPL,264.6972545293036,0,,,,,
ALHC,264.3497757847534,2,41.653116592498,,,11.590028562196398,
TUYA,261.71874999999994,0,,,,,
SSY,260.37735849056605,1,,45.20965014216074,,,
SARK,258.6281588447653,0,,,,,
BMTX,255.86206896551724,0,,,,,
COMP,254.67128027681656,1,58.29749197490576,,,,
XPEV,248.0916030534351,1,,,,12.897444997261513,
CRS,241.30990415335464,4,205.58295729030127,273.39893923493776,401.72850377676014,,224.561403508772
GL,239.86032074495603,0,,,,,
CYD,239.84375000000006,0,,,,,
GDTC,237.5,0,,,,,
PLX,236.58536585365852,2,,,20.23809523809524,57.47265023638469,
EXFY,233.06451612903226,3,73.75062739342324,34.843832552177446,40.97222222222223,,
XNET,231.0344827586207,0,,,,,
AKRO,226.98768197088467,0,,,,,
BROS,223.57541899441338,3,1447.2365196514136,134.59283288424297,103.27380952380953,,
GH,221.88488298545224,1,30.545454474685535,,,,
